7684	的
4FBF	便
9802	頂
6CB9	油
6B65	步
4ECA	今
53E4	古
6BDB	毛
96DE	雞
9999	香
8ACB	請
5411	向
5750	坐
6697	暗
83DC	菜
8AAA	說
5343	千
7CBE	精
6D3B	活
5973	女
725B	牛
6EFF	滿
5C07	將
50B7	傷
7167	照
9A5A	驚
7C73	米
6C42	求
7D19	紙
6599	料
82E5	若
4E03	七
516D	六
8AD6	論
571F	土
9818	領
6A39	樹
9752	青
54C1	品
8DB3	足
8336	茶
85E5	藥
7834	破
5DEE	差
65B7	斷
5357	南
5E03	布
6539	改
5F62	形
4EF6	件
5F9E	從
8CA8	貨
56E0	因
623F	房
7F8E	美
8003	考
5E02	市
7ACB	立
8CE3	賣
8840	血
8A00	言
653F	政
7530	田
8FD1	近
5047	假
71D2	燒
9AA8	骨
9EC3	黃
53F8	司
8CB7	買
898F	規
529F	功
8A8D	認
671F	期
5317	北
50F9	價
5BB3	害
8ABF	調
6232	戲
8655	處
79AE	禮
4ED4	仔
601D	思
6A02	樂
4E45	久
4E82	亂
8FA6	辦
908A	邊
67E5	查
738B	王
6B4C	歌
97F3	音
9001	送
6D88	消
8F15	輕
5E7E	幾
5473	味
9B3C	鬼
990A	養
5176	其
6D17	洗
50CF	像
62DC	拜
6DF1	深
756B	畫
51B7	冷
773C	眼
592A	太
6C7A	決
64FA	擺
6563	散
754C	界
793E	社
5F1F	弟
6545	故
4EFB	任
6E96	準
96E2	離
7D55	絕
8A9E	語
8239	船
9060	遠
7531	由
9B25	鬥
5F80	往
53C3	參
98DB	飛
52D9	務
5A46	婆
6839	根
54E1	員
5DF2	已
6B72	歲
9806	順
4E5D	九
865F	號
6162	慢
5E97	店
5404	各
5200	刀
9F8D	龍
50B3	傳
7403	球
7956	祖
670D	服
72D7	狗
9078	選
5BD2	寒
8A66	試
9592	閒
6728	木
80CC	背
9663	陣
88DC	補
96A8	隨
5713	圓
8CA1	財
8C46	豆
661F	星
63DB	換
8033	耳
9EBB	麻
9010	逐
8CBB	費
64D4	擔
6392	排
602A	怪
73ED	班
7D04	約
53CB	友
9000	退
559C	喜
7F6A	罪
5099	備
5FEB	快
6CBB	治
591C	夜
76E4	盤
6FDF	濟
96D9	雙
7B46	筆
6BCD	母
5BB9	容
77ED	短
9CE5	鳥
63A8	推
6F22	漢
8C6C	豬
6562	敢
6797	林
5A18	娘
592B	夫
8ECD	軍
54E5	哥
88AB	被
900F	透
7559	留
8A0E	討
8B80	讀
6C99	沙
5712	園
7247	片
8A72	該
91AB	醫
89BA	覺
809A	肚
7C89	粉
6230	戰
6B3E	款
8208	興
83AB	莫
9805	項
70CF	烏
6625	春
984C	題
76E1	盡
7AF9	竹
652F	支
88E1	裡
4F2F	伯
798F	福
53E5	句
8996	視
6B0A	權
9020	造
80A5	肥
5236	制
88DD	裝
5DF1	己
6A13	樓
60E1	惡
8853	術
5E6B	幫
5144	兄
4FD7	俗
7532	甲
683C	格
90A3	那
4F55	何
514D	免
9280	銀
53C8	又
5A5A	婚
786C	硬
4FEE	修
719F	熟
5BEB	寫
9109	鄉
5175	兵
91CC	里
89C0	觀
5C55	展
5B8C	完
9858	願
7FD2	習
6821	校
62DB	招
8AA0	誠
5F85	待
72AF	犯
6301	持
521D	初
52DE	勞
5C08	專
7968	票
96C4	雄
8CB4	貴
544A	告
975E	非
756A	番
91CE	野
7701	省
5340	區
8DF3	跳
8CEA	質
6295	投
6B62	止
5FC5	必
5B58	存
5152	兒
8166	腦
9867	顧
71C8	燈
9662	院
672A	未
9694	隔
8B70	議
9F3B	鼻
7B2C	第
58C1	壁
7D72	絲
5802	堂
9F13	鼓
9435	鐵
9664	除
7259	牙
8A2D	設
4E4B	之
65B0	新
5BDF	察
6FC0	激
8209	舉
5143	元
5FF5	念
722D	爭
7537	男
6BD2	毒
6CE8	注
606F	息
6B61	歡
6A19	標
8F38	輸
8F2A	輪
666F	景
503C	值
8C61	象
5716	圖
6557	敗
886B	衫
5FD7	志
9F4A	齊
826F	良
58EB	士
87F2	蟲
5B6B	孫
57CE	城
505C	停
9F52	齒
501F	借
81ED	臭
7B54	答
5B88	守
7518	甘
628A	把
773E	眾
8B1D	謝
7DE3	緣
5E8A	床
7279	特
4F4E	低
5370	印
7A0B	程
6E6F	湯
81FA	臺
5F69	彩
8857	街
5C64	層
52A9	助
5077	偷
864E	虎
8EDF	軟
5584	善
5BC6	密
8B49	證
80B2	育
6848	案
67D0	某
51AC	冬
6F14	演
4EC1	仁
8005	者
820A	舊
79C1	私
6025	急
96AA	險
8CC7	資
570D	圍
6574	整
63D2	插
8AB2	課
6975	極
7CD6	糖
5BCC	富
7D71	統
7D22	索
793A	示
642D	搭
96C6	集
5531	唱
7159	煙
5439	吹
6B66	武
727D	牽
5E9C	府
64DA	據
6236	戶
7C97	粗
74DC	瓜
724C	牌
8077	職
62D6	拖
79D1	科
9670	陰
4ED9	仙
6D0B	洋
6700	最
6A6B	橫
60DC	惜
7D1A	級
677F	板
71DF	營
62CD	拍
5947	奇
5FB7	德
7169	煩
5F15	引
8584	薄
518D	再
9178	酸
81E8	臨
6D3E	派
906E	遮
806F	聯
56B4	嚴
5019	候
8CA0	負
638C	掌
6DBC	涼
59CB	始
9760	靠
74B0	環
6551	救
639B	掛
59D1	姑
62BD	抽
671D	朝
98FD	飽
9B27	鬧
523A	刺
5C40	局
96DC	雜
58FD	壽
6B78	歸
5F48	彈
6750	材
9418	鐘
723A	爺
812B	脫
8F09	載
5A66	婦
5546	商
5ABD	媽
53D4	叔
932F	錯
9632	防
547C	呼
7DF4	練
679D	枝
4F4F	住
81BD	膽
5EFA	建
7897	碗
800C	而
7A7F	穿
66F4	更
5AC1	嫁
8178	腸
8CCA	賊
627F	承
72C0	狀
6BBA	殺
8173	腳
8CAC	責
57FA	基
66F2	曲
5B64	孤
5207	切
4F5B	佛
7FFB	翻
9813	頓
8932	褲
5F04	弄
82F1	英
523B	刻
59B9	妹
984D	額
8449	葉
6028	怨
6069	恩
64CD	操
721B	爛
63A2	探
6EFE	滾
5668	器
5F8B	律
4FC2	係
81F4	致
6E1B	減
8D95	趕
73E0	珠
914D	配
5F0F	式
888B	袋
58D3	壓
8CBC	貼
53EA	只
5B5D	孝
53D6	取
80A1	股
7F3A	缺
83EF	華
504F	偏
975C	靜
6DE1	淡
9928	館
7AAE	窮
5C0A	尊
9A57	驗
6EAB	溫
7368	獨
5718	團
7C92	粒
4F9B	供
8E0F	踏
84CB	蓋
7DB2	網
5E8F	序
8870	衰
6416	搖
51B0	冰
716E	煮
684C	桌
541B	君
5C4E	屎
656C	敬
81F3	至
7591	疑
9996	首
8D64	赤
91DD	針
6E9D	溝
707D	災
96EA	雪
535A	博
6279	批
967D	陽
821E	舞
5275	創
5BF6	寶
6CB3	河
9014	途
5E7C	幼
7AD9	站
5C16	尖
9054	達
6BCB	毋
6D6A	浪
7F75	罵
6548	效
7C21	簡
7389	玉
515C	兜
79CB	秋
6613	易
54EA	哪
85DD	藝
7E8C	續
5462	呢
751C	甜
78BA	確
8B77	護
978B	鞋
5E72	干
51A4	冤
8863	衣
665D	晝
539A	厚
5806	堆
8C93	貓
6383	掃
838A	莊
964D	降
660F	昏
75DB	痛
66C9	曉
822C	般
9650	限
715E	煞
96F6	零
8056	聖
5375	卵
4ED6	他
6A21	模
4F38	伸
7A4D	積
8B58	識
7A05	稅
6478	摸
9583	閃
4EFD	份
67B6	架
54C0	哀
6BCF	每
7238	爸
5C01	封
6D6E	浮
7A97	窗
6C89	沉
674E	李
4E08	丈
670B	朋
9905	餅
7BC4	範
4F46	但
5DF4	巴
640D	損
8179	腹
5BC4	寄
6A4B	橋
65CF	族
78E8	磨
6AA2	檢
7063	灣
5272	割
7D00	紀
8170	腰
5468	周
4E7E	乾
6C57	汗
6309	按
7D0D	納
4EA1	亡
8FB2	農
8CFD	賽
8A69	詩
8D85	超
6E2F	港
676F	杯
7F85	羅
4E01	丁
5C3F	尿
9E7D	鹽
7981	禁
9D28	鴨
7AE0	章
5805	堅
56DE	回
6BBC	殼
968A	隊
5065	健
5EDF	廟
5FCD	忍
79C0	秀
985E	類
734E	獎
4F11	休
7720	眠
5C45	居
6E90	源
5E1D	帝
5C04	射
5178	典
59D3	姓
675F	束
72C2	狂
8D8A	越
59CA	姊
5FAE	微
820C	舌
723D	爽
885B	衛
9192	醒
97FF	響
7AE5	童
52C7	勇
6DFB	添
6ED1	滑
542B	含
8F9B	辛
865B	虛
6436	搶
5177	具
7D20	素
695A	楚
7BB1	箱
8D0F	贏
9F20	鼠
96F7	雷
7A76	究
9748	靈
7B4B	筋
540A	吊
642C	搬
76E3	監
7565	略
4EE4	令
6C96	沖
7D42	終
6EF4	滴
5BAE	宮
5224	判
90CE	郎
904A	遊
8F29	輩
80F8	胸
54AC	咬
666E	普
89F8	觸
96BB	隻
7814	研
8010	耐
9069	適
6234	戴
5FA9	復
8FCE	迎
5A01	威
8C8C	貌
6B47	歇
6B21	次
809D	肝
62C9	拉
4F19	伙
592E	央
5ACC	嫌
5B54	孔
5C3A	尺
5BEC	寬
8FFD	追
6B32	欲
5BA4	室
57F7	執
4E14	且
6E21	渡
52F8	勸
4E95	井
8986	覆
5DE7	巧
8AA4	誤
58A8	墨
62F3	拳
5217	列
8FF7	迷
93E1	鏡
7F6E	置
50B5	債
6298	折
7B26	符
75C7	症
5E0C	希
