8E34	踴
9E1E	鸞
54C2	哂
5E54	幔
5406	吆
776A	睪
5B95	宕
6CB1	沱
8DDA	跚
9821	頡
7032	瀲
8D13	贓
5C91	岑
6A35	樵
5321	匡
5B1B	嬛
90E4	郤
6B89	殉
78D5	磕
6452	摒
88F1	裱
6556	敖
8722	蜢
7601	瘁
5AF5	嫵
7BE1	篡
97A3	鞣
6410	搐
9318	錘
7B74	筴
7069	灩
6427	搧
7A14	稔
4FDA	俚
6E6E	湮
548B	咋
80EF	胯
77A0	瞠
5638	嘸
83A7	莧
636B	捫
85FF	藿
62EE	拮
6C8F	沏
9B74	魴
7708	眈
5C50	屐
7407	琇
5B43	孃
8466	葦
9C32	鰲
71C4	燄
9237	鈷
692A	椪
9BFD	鯽
6506	攆
7D1C	紜
5115	儕
858A	薊
9BF7	鯷
4FEC	俬
54BE	咾
80D7	胗
8093	肓
8CBD	貽
78B4	碴
6942	楂
927B	鉻
6775	杵
5481	咁
72A2	犢
5B7A	孺
7B4F	筏
8707	蜇
9D6A	鵪
9F94	龔
7FDF	翟
623E	戾
63F6	揶
6AF8	櫸
7747	睇
8236	舶
92E4	鋤
904F	遏
8879	衹
6BA4	殤
75F1	痱
5D69	嵩
547B	呻
63C4	揄
91D7	釗
4EB3	亳
733E	猾
6B9E	殞
6777	杷
723B	爻
92EF	鋯
53FB	叻
7DB5	綵
8AC2	諂
642A	搪
95B9	閹
542D	吭
797A	祺
8768	蝨
6BD7	毗
6787	枇
4FD1	俑
73DE	珞
61FF	懿
9D89	鶉
6BAF	殯
6DB8	涸
69C1	槁
8913	褓
5484	咄
85BA	薺
7FA1	羡
828D	芍
6479	摹
51B6	冶
81BA	膺
9AC2	髂
87FE	蟾
55F7	嗷
87D2	蟒
5D4B	嵋
5693	嚓
8960	襠
8E76	蹶
6EC2	滂
75F9	痹
5809	堉
5E11	帑
88CA	裊
776C	睬
9398	鎘
9798	鞘
7F54	罔
4F15	伕
85DC	藜
9251	鉑
7F48	罈
87B3	螳
8153	腓
7018	瀘
8DDB	跛
7C38	簸
6173	慳
942E	鐮
59DD	姝
8693	蚓
689F	梟
731D	猝
787C	硼
752F	甯
56DD	囝
9016	逖
79E7	秧
5B62	孢
8FFA	迺
7AFD	竽
54DE	哞
8B3E	謾
9DF0	鷰
634E	捎
870D	蜍
9672	陲
78CA	磊
9865	顥
8340	荀
8AA3	誣
4F84	侄
64D8	擘
8703	蜃
755D	畝
9C31	鰱
6D5A	浚
7BB4	箴
84D6	蓖
85D0	藐
75B8	疸
8378	荸
6369	捩
89A6	覦
5527	唧
5F6A	彪
71FC	燼
74A3	璣
89AC	覬
91B4	醴
9695	隕
9AD5	髕
569C	嚜
530D	匍
5310	匐
69F3	槳
7DF2	緲
832D	茭
5108	儈
621F	戟
814C	腌
7357	獗
8398	莘
9C13	鰓
8925	褥
5D34	崴
8B59	譙
67E2	柢
8356	荖
7D43	絃
5919	夙
9293	銓
8AF3	諳
6DDE	淞
7370	獰
9E1D	鸝
845A	葚
9B5F	魟
5F2D	弭
9870	顰
69D0	槐
86AF	蚯
8757	蝗
7319	猙
62F4	拴
97F6	韶
9BE7	鯧
9DE5	鷥
8E42	蹂
4F62	佢
64FB	擻
9163	酣
7647	癇
74A6	璦
8B14	謔
5ADA	嫚
9642	陂
993F	餿
5586	喆
7006	瀆
818A	膊
6137	愷
8EAA	躪
7F4C	罌
75FF	痿
9365	鍥
7C23	簣
9AFB	髻
6636	昶
7E39	縹
777E	睾
64AC	撬
531D	匝
5BA6	宦
8D96	趖
8469	葩
7131	焱
5981	妁
9B03	鬃
87C4	蟄
80F3	胳
6853	桓
81C3	臃
54BF	咿
7911	礑
5A4A	婊
7AA0	窠
7B95	箕
75F2	痲
6773	杳
6690	暐
9076	遶
9A0F	騏
95CD	闍
68A0	梠
891A	褚
871A	蜚
7889	碉
7D8F	綏
9438	鐸
6248	扈
932E	錮
8C62	豢
88AA	袪
57A0	垠
5555	啕
7A60	穠
6B5B	歛
715C	煜
84A8	蒨
992C	餬
5DFD	巽
8DFA	跺
9A16	騖
6894	梔
6595	斕
5530	唰
6AFA	櫺
9F95	龕
574D	坍
9A01	騁
86B1	蚱
5A40	婀
8A91	誑
6CBD	沽
4F58	佘
993D	餽
6519	攙
64E4	擤
6339	挹
6E4D	湍
752D	甭
6C82	沂
5B3F	嬿
6441	摁
701B	瀛
6968	楨
6522	攢
83A0	莠
8228	舨
965D	陝
6CF1	泱
7FB2	羲
995C	饜
78A3	碣
527F	剿
4E99	亙
9278	鉸
7BE6	篦
9AC1	髁
5CB7	岷
5DCD	巍
57E1	埡
7669	癩
93D7	鏗
627A	扺
7230	爰
8A25	訥
6C30	氰
6FAA	澪
4E69	乩
7B9D	箝
9370	鍰
71C1	燁
9319	錙
8CB2	貲
6ED5	滕
71CE	燎
684E	桎
9B28	鬨
5080	傀
5121	儡
737C	獼
5A97	媗
5ECC	廌
87CB	蟋
87C0	蟀
9D70	鵰
5914	夔
75E4	痤
7FA5	羥
7634	瘴
688F	梏
547F	呿
75CD	痍
7F44	罄
6342	捂
82B6	芶
91F5	釵
8914	褔
81EC	臬
82E1	苡
832F	茯
95D0	闐
8EDB	軛
6E8F	溏
6F09	漉
5E40	幀
6019	怙
5A23	娣
9708	霈
4FDF	俟
7E10	縐
6845	桅
6F97	澗
5478	呸
7C91	粑
71B9	熹
6CAC	沬
7274	牴
71D4	燔
87C6	蟆
9102	鄂
5AE3	嫣
5B51	孑
5B53	孓
5D27	崧
6B09	欉
6B46	歆
84C6	蓆
7E87	纇
70FD	烽
792C	礬
5773	坳
59F5	姵
5FA0	徠
7122	焢
79DD	秝
8ACD	諍
936C	鍬
6FB9	澹
69B7	榷
4E15	丕
614D	慍
56D4	囔
91AE	醮
59E9	姩
6979	楹
85F7	藷
7C6E	籮
82BB	芻
8C98	貘
8E53	蹓
700B	瀋
6E19	渙
7440	瑀
