72AC	犬
6CBB	治
6751	村
53E5	句
66F2	曲
8F2A	輪
8C9D	貝
70B8	炸
552F	唯
56FA	固
57F7	執
7DF4	練
8AC7	談
9B54	魔
5E8A	床
91DD	針
5E7B	幻
6CF0	泰
6562	敢
81A9	膩
5BEC	寬
599D	妝
7897	碗
5BBF	宿
5EAD	庭
5DF7	巷
7A4D	積
89F8	觸
76DB	盛
5805	堅
9AEE	髮
5076	偶
6DCB	淋
6FD5	濕
6D3E	派
80B2	育
95C6	闆
6377	捷
6F54	潔
639B	掛
819A	膚
5806	堆
7092	炒
978B	鞋
5A92	媒
593E	夾
4E92	互
54AA	咪
7D0D	納
64CA	擊
9918	餘
5C3A	尺
6C1B	氛
885B	衛
6ECB	滋
79D8	秘
964D	降
8A3B	註
8FF0	述
85E5	藥
5617	嘗
5999	妙
83AB	莫
7686	皆
4EC1	仁
74DC	瓜
627F	承
9014	途
96EA	雪
5F04	弄
6BBA	殺
76D2	盒
760B	瘋
92B7	銷
775B	睛
8DDD	距
6557	敗
62B5	抵
907A	遺
616E	慮
8986	覆
5077	偷
65E2	既
9375	鍵
81A0	膠
5FCD	忍
8F9B	辛
6A4B	橋
5269	剩
6025	急
809A	肚
561B	嘛
9165	酥
7E2E	縮
62BD	抽
7259	牙
535A	博
6297	抗
6DFB	添
6293	抓
984D	額
70C8	烈
5E8F	序
6B4C	歌
5237	刷
5A18	娘
5A01	威
878D	融
6200	戀
8B02	謂
8449	葉
61F6	懶
4E01	丁
69CB	構
968E	階
74F6	瓶
9B3C	鬼
8010	耐
5074	側
7126	焦
58C1	壁
6DB2	液
734E	獎
6F38	漸
62FC	拼
52DD	勝
6697	暗
821E	舞
56F0	困
6263	扣
68C4	棄
5690	嚐
7530	田
756A	番
6B8A	殊
65BD	施
5409	吉
7D22	索
9F13	鼓
8CFD	賽
6176	慶
8033	耳
52AA	努
7B26	符
63E1	握
5C01	封
7D0B	紋
585E	塞
63A2	探
6B78	歸
5854	塔
6069	恩
6CBE	沾
808C	肌
641C	搜
4F48	佈
677E	松
8CAC	責
7389	玉
6E56	湖
5354	協
7532	甲
5BDF	察
6905	椅
722D	爭
8766	蝦
9396	鎖
6CB3	河
60E1	惡
58FD	壽
8ECD	軍
8525	蔥
73CD	珍
4F01	企
80A1	股
9E79	鹹
63D2	插
638C	掌
72D7	狗
76CA	益
67D3	染
7236	父
6C60	池
5E9C	府
966A	陪
5BA3	宣
671D	朝
5BAE	宮
5A66	婦
80A5	肥
64CD	操
80C3	胃
8AA0	誠
5C16	尖
9280	銀
7238	爸
64AD	播
6D74	浴
6551	救
68EE	森
7642	療
96F7	雷
8E0F	踏
64E6	擦
66FF	替
6050	恐
8CA1	財
7A69	穩
9080	邀
78B0	碰
6B23	欣
6EF4	滴
9B6F	魯
9EA5	麥
5E25	帥
904D	遍
57DF	域
9E7D	鹽
6F64	潤
7B56	策
6372	捲
54AC	咬
7E54	織
586B	填
8377	荷
9813	頓
6676	晶
4E58	乘
9583	閃
6912	椒
718A	熊
8607	蘇
5687	嚇
7070	灰
9ED8	默
51E1	凡
7981	禁
6524	攤
7D2B	紫
62D6	拖
8077	職
852C	蔬
63EE	揮
5BC4	寄
54E6	哦
7626	瘦
6BD2	毒
54E9	哩
73E0	珠
6B32	欲
53B2	厲
62EC	括
745E	瑞
62CC	拌
6167	慧
5851	塑
64E0	擠
80AF	肯
68AF	梯
9B27	鬧
9F4A	齊
5B88	守
5DE8	巨
654F	敏
8D81	趁
526F	副
9CE5	鳥
8150	腐
85C9	藉
8FB2	農
5531	唱
6EFE	滾
8932	褲
8CA9	販
5A46	婆
80E1	胡
6F62	潢
6CBF	沿
9817	頗
4E1F	丟
6C89	沉
5192	冒
788E	碎
6F22	漢
8C6A	豪
9A0E	騎
518A	冊
6DFA	淺
5F8B	律
8A5E	詞
4F5B	佛
8178	腸
896F	襯
57F9	培
8C37	谷
7518	甘
8DE8	跨
5B54	孔
69AE	榮
6D1E	洞
5FD7	志
4EA6	亦
721B	爛
690D	植
5200	刀
5B85	宅
6628	昨
4FD7	俗
5BE7	寧
795D	祝
54ED	哭
7C97	粗
52F5	勵
5E63	幣
8102	脂
9A5F	驟
526A	剪
59D3	姓
68C9	棉
6234	戴
78E8	磨
865B	虛
5C04	射
7D1B	紛
7E41	繁
6735	朵
52DE	勞
6FA4	澤
6885	梅
9ECF	黏
6C5F	江
9010	逐
6790	析
6478	摸
62B9	抹
7E5E	繞
6575	敵
6CC9	泉
93AE	鎮
7159	煙
73BB	玻
6B98	殘
5439	吹
4E32	串
9F3B	鼻
7051	灑
79D2	秒
5821	堡
857E	蕾
5674	噴
87A2	螢
5BF8	寸
8CF4	賴
64FE	擾
6558	敘
7F8A	羊
54C7	哇
4E88	予
9D28	鴨
62D4	拔
60A0	悠
6416	搖
7533	申
84B8	蒸
52C7	勇
626E	扮
5565	啥
864E	虎
65D7	旗
8C8C	貌
5FE0	忠
8B5C	譜
5F31	弱
5410	吐
500D	倍
596E	奮
6CE5	泥
6FDF	濟
5E7C	幼
5319	匙
656C	敬
7DE9	緩
51CD	凍
66AB	暫
7F50	罐
714E	煎
8D9F	趟
517C	兼
822A	航
5857	塗
5DDD	川
77AC	瞬
838A	莊
75C7	症
90C1	郁
83C7	菇
8A13	訓
7C92	粒
722C	爬
8490	蒐
52C1	勁
6D6E	浮
6838	核
9670	陰
5C0A	尊
8FF4	迴
8A87	誇
90F5	郵
7483	璃
642C	搬
7D9C	綜
66FC	曼
8A95	誕
6368	捨
6620	映
9177	酷
70CF	烏
5E79	幹
59CA	姊
8B66	警
6DDA	淚
819C	膜
8861	衡
8D08	贈
7E6A	繪
7D10	紐
92EA	鋪
849C	蒜
7DBF	綿
66C9	曉
863F	蘿
8514	蔔
8389	莉
8304	茄
731C	猜
6DC7	淇
4F54	佔
886B	衫
62C6	拆
906D	遭
8FEB	迫
502B	倫
8393	莓
52FB	勻
9913	餓
7210	爐
4ED9	仙
60D1	惑
6490	撐
8F29	輩
969C	障
4E39	丹
5F4E	彎
6A6B	橫
5F7C	彼
7E96	纖
63F4	援
971C	霜
4E56	乖
588A	墊
6B04	欄
727D	牽
8170	腰
7336	猶
80F8	胸
66EC	曬
983B	頻
5FB5	徵
9F61	齡
60B6	悶
5DFE	巾
84EE	蓮
81BD	膽
53AD	厭
6089	悉
7B4B	筋
5EE2	廢
7D17	紗
5954	奔
71E5	燥
6316	挖
9CF3	鳳
4FC3	促
818F	膏
5371	危
5EC1	廁
9589	閉
85AF	薯
8DE1	跡
79DF	租
58EF	壯
6846	框
868A	蚊
65CB	旋
7AA9	窩
52FE	勾
71D9	燙
7CCA	糊
6FB3	澳
6668	晨
50BB	傻
532F	匯
80D6	胖
59FF	姿
700F	瀏
6C96	沖
92FC	鋼
6383	掃
9707	震
5695	嚕
80A9	肩
6717	朗
6155	慕
6E9D	溝
829D	芝
5BB4	宴
708E	炎
649E	撞
66A2	暢
6AAF	檯
7C3D	簽
5F91	徑
9F20	鼠
5291	劑
8A17	託
723A	爺
66B4	暴
6085	悅
574A	坊
906E	遮
860B	蘋
8CFA	賺
9727	霧
6F3F	漿
77AD	瞭
8A98	誘
5761	坡
9686	隆
5E3D	帽
4F30	估
8B6F	譯
766E	癮
83F2	菲
9B45	魅
6C57	汗
8AFE	諾
5100	儀
5609	嘉
85A9	薩
9ECE	黎
58A8	墨
9A30	騰
9B42	魂
51A0	冠
640D	損
70D8	烘
622A	截
60F1	惱
5967	奧
5154	兔
63CF	描
918B	醋
7919	礙
6AB8	檸
68A8	梨
8461	葡
746A	瑪
576A	坪
6643	晃
88F8	裸
674F	杏
4FF1	俱
7C64	籤
81ED	臭
963B	阻
90A6	邦
6A58	橘
6AAC	檬
76C6	盆
6AFB	櫻
63ED	揭
8179	腹
52D2	勒
71C9	燉
934A	鍊
8017	耗
5132	儲
62D2	拒
790E	礎
4F0A	伊
9677	陷
5118	儘
64F4	擴
905E	遞
5B5D	孝
98C4	飄
6EAA	溪
72AF	犯
4EFF	仿
8CD3	賓
9B25	鬥
6BBC	殼
8702	蜂
8404	萄
4FB6	侶
634F	捏
8070	聰
651C	攜
7D81	綁
8EBA	躺
6028	怨
5A1C	娜
73AB	玫
5435	吵
599E	妞
540A	吊
659C	斜
5BF5	寵
8FEA	迪
8C54	豔
5E45	幅
7470	瑰
7AAE	窮
4F75	併
9130	鄰
903C	逼
5F77	彷
5F7F	彿
5FAA	循
5925	夥
5C3F	尿
737B	獻
6016	怖
8776	蝶
5C46	屆
7E7D	繽
7720	眠
758A	疊
51F1	凱
96D5	雕
8E8D	躍
840A	萊
68DF	棟
7E2B	縫
6109	愉
8A3A	診
53C9	叉
6158	慘
8499	蒙
59AE	妮
6566	敦
660F	昏
64CB	擋
6191	憑
947D	鑽
5B64	孤
7A00	稀
6DB5	涵
6FA1	澡
6F0F	漏
9921	餡
7F9E	羞
964C	陌
87F2	蟲
9081	邁
5CF0	峰
6591	斑
8591	薑
5C41	屁
827E	艾
75D5	痕
5ACC	嫌
916A	酪
6094	悔
7B52	筒
652A	攪
63DA	揚
64EC	擬
81DF	臟
5507	唇
9A19	騙
6070	恰
558A	喊
8277	艷
5A03	娃
88D9	裙
71AC	熬
8FA8	辨
789F	碟
6876	桶
8896	袖
8521	蔡
64A5	撥
5FB9	徹
99A8	馨
9E7F	鹿
6688	暈
4F50	佐
87F9	蟹
5B55	孕
9285	銅
7709	眉
5564	啤
75BC	疼
731B	猛
74E6	瓦
8F14	輔
626D	扭
6046	恆
4F19	伙
7C60	籠
5433	吳
9AD2	髒
8AD2	諒
5606	嘆
52E4	勤
82D7	苗
78C1	磁
9072	遲
617E	慾
7F69	罩
8000	耀
7926	礦
7E6B	繫
59A8	妨
52FF	勿
56BC	嚼
60A3	患
8DB4	趴
65FA	旺
88C1	裁
6E9C	溜
5ECA	廊
7E61	繡
7CB9	粹
50A2	傢
65E6	旦
9187	醇
7C4D	籍
5085	傅
6212	戒
83CC	菌
7802	砂
5EDF	廟
4F69	佩
59C6	姆
4EA1	亡
80CE	胎
9738	霸
8E29	踩
60F9	惹
8DA8	趨
6062	恢
9838	頸
5B0C	嬌
65A4	斤
75BE	疾
