522A	刪
8EF8	軸
9903	餃
4FB5	侵
7E31	縱
50B2	傲
8CBF	貿
6108	愈
840C	萌
4EF0	仰
99C1	駁
67F4	柴
8CE2	賢
9935	餵
6F80	澀
76DF	盟
8C6B	豫
63A9	掩
58FA	壺
62AB	披
6577	敷
6D78	浸
7662	癢
8165	腥
9022	逢
6E67	湧
72FC	狼
81D8	臘
8606	蘆
65A5	斥
6EB6	溶
5EC9	廉
54C0	哀
6084	悄
71FB	燻
8CAB	貫
69CD	槍
6C88	沈
67CF	柏
8E5F	蹟
7A20	稠
6127	愧
7CFE	糾
57D4	埔
626F	扯
5EC2	廂
6190	憐
6EBC	溼
6DD8	淘
6F8E	澎
7B28	笨
660C	昌
800D	耍
83CA	菊
59E8	姨
8543	蕃
7CA5	粥
8D6B	赫
6B16	欖
6A44	橄
91C0	釀
61BE	憾
559A	喚
58C7	壇
6D89	涉
7384	玄
62AC	抬
9175	酵
95CA	闊
758F	疏
5C48	屈
7652	癒
59A5	妥
563B	嘻
6EA2	溢
53EE	叮
6247	扇
6B6A	歪
5F90	徐
7B4D	筍
5AC1	嫁
7433	琳
8AEE	諮
62F3	拳
6F6D	潭
6606	昆
5F70	彰
8ECC	軌
881F	蠟
687F	桿
4E59	乙
87BA	螺
92B3	銳
9017	逗
76C8	盈
7378	獸
6D2A	洪
8CA2	貢
7455	瑕
9326	錦
4F0F	伏
8CA7	貧
5B8F	宏
6291	抑
61F8	懸
7235	爵
8667	虧
508D	傍
5A1B	娛
541E	吞
6487	撇
80A2	肢
51F9	凹
51F8	凸
99DB	駛
9075	遵
6897	梗
85B0	薰
7682	皂
64AB	撫
7DB4	綴
8403	萃
5783	垃
6BBF	殿
573E	圾
7E69	繩
912D	鄭
8CCA	賊
5C37	尷
5C2C	尬
675C	杜
6607	昇
6953	楓
8180	膀
632F	振
683D	栽
7C3E	簾
6C61	污
9B31	鬱
6355	捕
7A1A	稚
7FE0	翠
7891	碑
63C9	揉
90AA	邪
6C90	沐
8F1D	輝
76BA	皺
55AC	喬
7A84	窄
7737	眷
66DD	曝
53D4	叔
8DCC	跌
69FD	槽
6FF1	濱
8E22	踢
6FFE	濾
9077	遷
6A59	橙
7FF9	翹
6488	撈
5375	卵
6296	抖
8CE6	賦
7D68	絨
56E7	囧
57CB	埋
5751	坑
6795	枕
50AC	催
70AB	炫
8139	脹
7FA8	羨
72E0	狠
7FC5	翅
745C	瑜
914C	酌
6B3A	欺
9451	鑑
63AA	措
6602	昂
754F	畏
8A6E	詮
8993	覓
7375	獵
937E	鍾
5D29	崩
55AA	喪
61A4	憤
71D5	燕
901D	逝
5C4D	屍
82A5	芥
68D5	棕
82AD	芭
525D	剝
8D0A	贊
5E15	帕
96C0	雀
776B	睫
8E10	踐
4FAF	侯
59EC	姬
82D4	苔
8266	艦
6021	怡
72A7	犧
7272	牲
9038	逸
63B0	掰
74F7	瓷
6A61	橡
64BC	撼
7948	祈
9470	鑰
56CA	囊
95A3	閣
507D	偽
7C3F	簿
5098	傘
8679	虹
8A23	訣
84EC	蓬
79AA	禪
528D	劍
8870	衰
8482	蒂
78A9	碩
908F	邏
52A3	劣
6B38	欸
6AE5	櫥
845B	葛
8155	腕
985B	顛
64C5	擅
7117	焗
5824	堤
7FFC	翼
8B39	謹
98B1	颱
8877	衷
5C6F	屯
75D8	痘
63EA	揪
4FD0	俐
59FB	姻
76FC	盼
71E6	燦
76EA	盪
5436	吶
76FE	盾
645F	摟
511F	償
68B3	梳
7554	畔
4E08	丈
91D8	釘
7F38	缸
905C	遜
9D09	鴉
5466	呦
7199	熙
647A	摺
9F90	龐
67DA	柚
55BB	喻
557E	啾
8B0E	謎
64CE	擎
6495	撕
98C6	飆
8B7D	譽
8513	蔓
5BB5	宵
9957	饗
6FB1	澱
52F8	勸
75AB	疫
5582	喂
81C2	臂
6CCC	泌
7B77	筷
9640	陀
798D	禍
5F27	弧
7BF7	篷
62ED	拭
715E	煞
7BAD	箭
7661	癡
9830	頰
9A37	騷
83E9	菩
764C	癌
7763	督
6413	搓
85AA	薪
6D66	浦
97CC	韌
7149	煉
8105	脅
524A	削
6881	梁
7119	焙
819D	膝
888D	袍
76DC	盜
8154	腔
5BC2	寂
4EC7	仇
6BEF	毯
6398	掘
6350	捐
5F18	弘
611C	愜
7E8F	纏
994B	饋
51FD	函
55C6	嗆
83F8	菸
86B5	蚵
8E81	躁
7CE7	糧
5480	咀
6F2C	漬
5679	噹
4E18	丘
8650	虐
6417	搗
54B3	咳
6F3E	漾
7F70	罰
8AE7	諧
6D69	浩
7334	猴
8F1B	輛
7D62	絢
8475	葵
5254	剔
813E	脾
73B2	玲
6F70	潰
5075	偵
8F5F	轟
68F5	棵
7A40	穀
7165	煥
72F9	狹
68AD	梭
7F72	署
68DA	棚
6399	掙
9BAA	鮪
74E3	瓣
8587	薇
632B	挫
64BF	撿
55E8	嗨
7779	睹
5589	喉
6D29	洩
5D0E	崎
8B00	謀
5587	喇
614C	慌
7A3B	稻
8332	茲
67EF	柯
6670	晰
67AF	枯
9B91	鮑
7FD4	翔
64B0	撰
97FB	韻
88D5	裕
54A9	咩
65E8	旨
77EE	矮
76E7	盧
4E2B	丫
5492	咒
58E2	壢
8CED	賭
71ED	燭
5B24	嬤
625B	扛
8116	脖
95D6	闖
598D	妍
8A6D	詭
58BE	墾
83C1	菁
5BE1	寡
5C51	屑
77E9	矩
8CE0	賠
5256	剖
778E	瞎
5598	喘
884D	衍
78C5	磅
68E7	棧
6454	摔
6284	抄
7262	牢
6DAF	涯
561F	嘟
535C	卜
73CA	珊
6CB8	沸
6EF2	滲
52DF	募
8271	艱
6C59	汙
514C	兌
9D3B	鴻
9A55	驕
93C8	鏈
6E3E	渾
5EF7	廷
560D	嘍
6627	昧
5EC8	廈
53DB	叛
9699	隙
5BEE	寮
6BC5	毅
8ABC	誼
6F84	澄
90CA	郊
7FB9	羹
5DE2	巢
54A6	咦
53E2	叢
6B96	殖
621A	戚
62DA	拚
7529	甩
4F10	伐
5641	噁
54FC	哼
76EF	盯
564C	噌
5F01	弁
5893	墓
8C4A	豊
7D79	絹
61B2	憲
8695	蚕
8CC3	賃
4FF3	俳
66AE	暮
7FCC	翌
85E9	藩
585A	塚
64AE	撮
5C90	岐
6F5F	潟
6271	扱
6CBC	沼
9283	銃
961C	阜
8328	茨
5E61	幡
80BA	肺
679A	枚
4FF5	俵
7832	砲
5211	刑
7DEF	緯
6749	杉
9DB4	鶴
8302	茂
5E4C	幌
5800	堀
7DB1	綱
62BC	押
5CB3	岳
83F1	菱
8247	艇
9063	遣
8C9E	貞
67C4	柄
99D2	駒
938C	鎌
587E	塾
7949	祉
83C5	菅
72D9	狙
5C3B	尻
8E0A	踊
8A70	詰
8429	萩
8C5A	豚
8F44	轄
57A3	垣
757F	畿
50DA	僚
6DF3	淳
6052	恒
58B3	墳
7DBE	綾
7BE0	篠
5C09	尉
78D0	磐
7B87	箇
7AE3	竣
96C7	雇
95C7	闇
6249	扉
733F	猿
537F	卿
4FFA	俺
5F6B	彫
69FB	槻
8A1F	訟
8E74	蹴
5DF3	巳
55E3	嗣
6DC0	淀
5504	唄
4E3C	丼
9BDB	鯛
9C3B	鰻
7947	祇
6A9C	檜
9BE8	鯨
6C5D	汝
902E	逮
6A3D	樽
9DAF	鶯
598A	妊
5A20	娠
849F	蒟
84BB	蒻
553E	唾
75F0	痰
9320	錠
7E6D	繭
9BD6	鯖
8AFA	諺
831C	茜
7435	琵
7436	琶
785D	硝
5197	冗
9C39	鰹
62D7	拗
7078	灸
60DA	惚
643E	搾
66C7	曇
9CF6	鳶
8CC4	賄
717D	煽
8A63	詣
6715	朕
8210	舐
8A1B	訛
8A6B	詫
9BA8	鮨
9162	酢
7F36	缶
85EA	藪
5023	倣
51C4	凄
86F8	蛸
96F0	雰
6A8E	檎
56EE	囮
8CD1	賑
7F6B	罫
62F6	拶
8FBF	辿
9784	鞄
7B48	筈
8CB0	貰
6357	捗
8997	覗
511A	儚
63C3	揃
5C38	尸
6302	挂
6251	扑
6D01	洁
4F18	优
5E84	庄
6770	杰
541F	吟
50E7	僧
5112	儒
9756	靖
8881	袁
51F6	凶
7B51	筑
66F0	曰
4FC4	俄
601C	怜
66F9	曹
72C4	狄
5F17	弗
9B4F	魏
4E11	丑
4F8D	侍
533F	匿
7A46	穆
6D8C	涌
5382	厂
814A	腊
77E3	矣
859B	薛
5978	奸
6D82	涂
5583	喃
8FB1	辱
6BB7	殷
6168	慨
6014	怔
516E	兮
4ED7	仗
6E58	湘
59DA	姚
6270	扰
97AD	鞭
5203	刃
5938	夸
752B	甫
6C6A	汪
6254	扔
6292	抒
6D12	洒
664C	晌
82F9	苹
7941	祁
7A37	稷
75D2	痒
5CAD	岭
772F	眯
5188	冈
6816	栖
7F51	网
4E30	丰
7C7D	籽
6DAE	涮
9955	饕
9F41	齁
9223	鈣
7A4E	穎
6DD1	淑
8569	蕩
75F4	痴
8ED2	軒
7504	甄
66A8	暨
6734	朴
7FF0	翰
7D6E	絮
7728	眨
814E	腎
7CF0	糰
5351	卑
82D1	苑
77DB	矛
4E4D	乍
81B3	膳
9675	陵
6380	掀
60F0	惰
4F3A	伺
5018	倘
7656	癖
6F20	漠
53EC	召
808B	肋
4F51	佑
6B47	歇
7CD9	糙
9E7C	鹼
7D21	紡
6E23	渣
780D	砍
8096	肖
52F3	勳
903E	逾
7E43	繃
611A	愚
7099	炙
9DF9	鷹
7D33	紳
5D50	嵐
6064	恤
51F0	凰
852D	蔭
79E4	秤
5E06	帆
8E48	蹈
92D2	鋒
4FE0	俠
76F2	盲
7ABA	窺
821F	舟
79C9	秉
5CFD	峽
9945	饅
8611	蘑
5A9A	媚
775C	睜
609A	悚
8FED	迭
5D14	崔
9298	銘
62D3	拓
57C3	埃
7261	牡
8822	蠢
541D	吝
77AA	瞪
53ED	叭
6500	攀
5353	卓
5984	妄
8FAD	辭
84BC	蒼
81A8	膨
6A11	樑
7BE9	篩
7FC1	翁
5320	匠
5BDE	寞
8C79	豹
5580	喀
6F88	澈
8C48	豈
7A6B	穫
92C1	鋁
66B1	暱
6CAB	沫
5C4E	屎
5DBA	嶺
75B5	疵
81C0	臀
50B5	債
6101	愁
6233	戳
5F59	彙
96A7	隧
816E	腮
524E	剎
5996	妖
75E0	痠
66E0	曠
7838	砸
6590	斐
6687	暇
77FD	矽
8CDC	賜
84C9	蓉
7184	熄
5495	咕
50AD	傭
51A4	冤
5306	匆
56AE	嚮
5B9B	宛
7587	疇
55DC	嗜
5026	倦
5616	嘖
856D	蕭
8F9C	辜
8DEA	跪
55B5	喵
589C	墜
7DDE	緞
8085	肅
584C	塌
80FA	胺
5442	呂
91E3	釣
72D0	狐
8823	蠣
83E0	菠
8783	螃
8B0A	謊
5BB0	宰
860A	蘊
633D	挽
5477	呷
54C9	哉
870A	蜊
817A	腺
515C	兜
7AAF	窯
8B6C	譬
90B1	邱
5543	啃
62D8	拘
742A	琪
7011	瀑
9739	霹
929C	銜
8A93	誓
8D99	趙
6175	慵
52AB	劫
5EB8	庸
7AC4	竄
6C70	汰
5680	嚀
773A	眺
5983	妃
7D5E	絞
6CCA	泊
59DC	姜
5D84	嶄
64F7	擷
5366	卦
9742	靂
87FB	蟻
7CEC	糬
6055	恕
991A	餚
75A4	疤
5B5F	孟
62C7	拇
9952	饒
7784	瞄
925B	鉛
5862	塢
5E16	帖
8058	聘
6DEA	淪
7E9C	纜
8A79	詹
8FB0	辰
93FD	鏽
722A	爪
67D1	柑
8E72	蹲
79A6	禦
55D1	嗑
8339	茹
