6A94	檔
7960	祠
7D66	給
5247	則
74F6	瓶
79BF	禿
9B31	鬱
4E19	丙
566A	噪
536F	卯
82D4	苔
5BC5	寅
7570	異
64D2	擒
6F84	澄
9AFB	髻
61CA	懊
649A	撚
5510	唐
7095	炕
682A	株
7C2B	簫
62CC	拌
57E0	埠
9E9F	麟
7184	熄
6EF7	滷
547B	呻
7AF6	競
7CD9	糙
7119	焙
60B2	悲
8202	舂
88B1	袱
9B91	鮑
71A8	熨
80F3	胳
6696	暖
5197	冗
88F9	裹
978D	鞍
6273	扳
79FB	移
820D	舍
7E5E	繞
852C	蔬
5594	喔
64BC	撼
8CD2	賒
61C2	懂
7194	熔
803D	耽
4E73	乳
7624	瘤
5269	剩
5B7D	孽
8AB0	誰
5616	嘖
5992	妒
4EF0	仰
6041	恁
7BB8	箸
6AFB	櫻
774F	睏
637D	捽
8ECB	軋
56E4	囤
678B	枋
8C49	豉
72FD	狽
978F	鞏
50DA	僚
6F6E	潮
5580	喀
776B	睫
9183	醃
4EC6	仆
558B	喋
67B7	枷
578B	型
6177	慷
637B	捻
58EF	壯
5277	剷
524B	剋
667E	晾
5427	吧
786F	硯
69B4	榴
821F	舟
80ED	胭
5212	划
5983	妃
52DD	勝
6575	敵
8073	聳
8AA1	誡
96C1	雁
67DA	柚
6D8E	涎
84C6	蓆
904F	遏
9582	閂
5E9A	庚
4E9E	亞
5100	儀
9EBC	麼
97D3	韓
860B	蘋
7387	率
6881	梁
4ED5	仕
5EC2	廂
96F9	雹
6207	戇
900D	逍
5080	傀
71D9	燙
5147	兇
7E73	繳
7A08	稈
589F	墟
896A	襪
6995	榕
4F57	佗
7BFE	篾
6148	慈
6E38	游
542E	吮
4ED7	仗
6C70	汰
5925	夥
766E	癮
4E2A	个
6376	捶
755A	畚
97ED	韭
8FAE	辮
8210	舐
9686	隆
5016	倖
5FFD	忽
664F	晏
8C5A	豚
5291	劑
677E	松
8A50	詐
8393	莓
4EA5	亥
6396	掖
7CDF	糟
9699	隙
6AB3	檳
5D01	崁
6691	暑
6DF7	混
5C6C	屬
585A	塚
8896	袖
4EAC	京
5634	嘴
9C49	鱉
81CA	臊
6A44	橄
7C4D	籍
9837	頷
9903	餃
62A8	抨
993E	餾
82D7	苗
65A1	斡
7DD2	緒
72A7	犧
58B3	墳
6F54	潔
634B	捋
85D5	藕
7E41	繁
8B02	謂
63F4	援
6CF0	泰
70D9	烙
621A	戚
8AF8	諸
71C9	燉
98C6	飆
87EC	蟬
7BE1	篡
92D2	鋒
5CF0	峰
67F5	柵
4EC4	仄
8377	荷
5587	喇
5858	塘
5AD6	嫖
7C95	粕
85D0	藐
60A3	患
58C5	壅
9B03	鬃
555F	啟
75E0	痠
62C4	拄
6B50	歐
62BF	抿
99C1	駁
5C3C	尼
6350	捐
525B	剛
687F	桿
9A55	驕
6F62	潢
868A	蚊
4E4E	乎
990C	餌
4E5C	乜
8DCE	跎
62FF	拿
7BC9	築
6FC3	濃
5537	唷
71DC	燜
6753	杓
6795	枕
829D	芝
80DE	胞
8F14	輔
8E6C	蹬
6B16	欖
8F9C	辜
57DF	域
8C37	谷
8EC0	軀
7AA9	窩
64C1	擁
8305	茅
93E2	鏢
61B6	憶
5241	剁
822A	航
561B	嘛
75BC	疼
650F	攏
9798	鞘
62D1	拑
6B8A	殊
527F	剿
8FD4	返
7AC7	竇
6CC5	泅
800D	耍
6B38	欸
614E	慎
675C	杜
5F14	弔
5C24	尤
8151	腑
7D2B	紫
4E69	乩
7470	瑰
8B7D	譽
83A2	莢
59FF	姿
5D07	崇
5076	偶
7638	瘸
6F1A	漚
68B0	械
84D1	蓑
5764	坤
6332	挲
634E	捎
6DEB	淫
9808	須
6233	戳
82B9	芹
8C79	豹
64F4	擴
67EF	柯
566F	噯
65E8	旨
68D2	棒
694A	楊
6349	捉
8A0A	訊
6CF1	泱
84BC	蒼
6787	枇
792C	礬
9D06	鴆
958F	閏
5BC2	寂
9716	霖
6D2A	洪
6994	榔
64FE	擾
6842	桂
9C3B	鰻
901D	逝
5049	偉
4FAF	侯
9149	酉
7682	皂
8207	與
810A	脊
8DCC	跌
85CD	藍
75F1	痱
856D	蕭
5237	刷
55B2	喲
86DF	蛟
5BB4	宴
9ECE	黎
76FE	盾
8606	蘆
962E	阮
68EE	森
5D17	崗
9918	餘
6DB5	涵
5F90	徐
8B4E	譎
64A4	撤
5098	傘
8776	蝶
5F0A	弊
8E10	踐
57D5	埕
795F	祟
6668	晨
9451	鑑
7A61	穡
543E	吾
5B5F	孟
5F91	徑
5433	吳
77DB	矛
80DB	胛
65A7	斧
892B	褫
805A	聚
60E0	惠
8CFC	購
7DB4	綴
6B3D	欽
6790	析
5FDD	忝
9283	銃
69AB	榫
9ED1	黑
641E	搞
5C6F	屯
5091	傑
6661	晡
76DF	盟
6D1B	洛
58E9	壩
7B06	笆
86CB	蛋
5CB3	岳
54AA	咪
78A7	碧
5C50	屐
6F70	潰
8F5F	轟
8FF4	迴
7AFF	竿
6454	摔
91CB	釋
85B0	薰
8C9E	貞
745E	瑞
55C4	嗄
8F2F	輯
7E31	縱
4E48	么
9B54	魔
9676	陶
6062	恢
64AC	撬
8396	莖
54B1	咱
66F9	曹
7B4A	筊
5DE8	巨
703E	瀾
8499	蒙
7B1B	笛
73AB	玫
7099	炙
98C4	飄
9F67	齧
69CB	構
8902	褂
5ECA	廊
6850	桐
760B	瘋
55AC	喬
8B6F	譯
690F	椏
5761	坡
5C60	屠
8CD1	賑
968D	隍
83CC	菌
7D81	綁
8768	蝨
5599	喙
878D	融
9050	遐
5E33	帳
5F81	征
6EEF	滯
8036	耶
6CF3	泳
8A98	誘
8086	肆
6B49	歉
87F9	蟹
8180	膀
55E6	嗦
5289	劉
86DB	蛛
99DD	駝
75E3	痣
6D25	津
5F70	彰
6A35	樵
5426	否
86FE	蛾
63B0	掰
6F2B	漫
53ED	叭
912D	鄭
7672	癲
846B	葫
5DF3	巳
68E7	棧
675E	杞
6DEA	淪
6435	搵
540F	吏
5F26	弦
7A1A	稚
8155	腕
622A	截
85A9	薩
5AE9	嫩
5442	呂
5074	側
50D1	僑
79BE	禾
552E	售
66DD	曝
6E4A	湊
5678	噸
895F	襟
8A62	詢
6EF2	滲
6606	昆
7A46	穆
6BB7	殷
86C4	蛄
83BD	莽
766C	癬
63F9	揹
7DB5	綵
78A9	碩
5DE2	巢
5993	妓
5C09	尉
6C6A	汪
543C	吼
8CB8	貸
8C48	豈
5875	塵
6F5B	潛
6652	晒
845B	葛
7A92	窒
9640	陀
6F58	潘
9EA9	麩
61BE	憾
71E6	燦
6C90	沐
8859	衙
6012	怒
68A2	梢
5608	嘈
54FC	哼
7729	眩
6CDB	泛
752B	甫
9801	頁
56EB	囫
919C	醜
9707	震
5F79	役
5BD3	寓
9F90	龐
7C4C	籌
6566	敦
6410	搐
995E	饞
50BE	傾
6FB3	澳
5B87	宇
9CF4	鳴
67B5	枵
52FF	勿
7DA2	綢
55DA	嗚
896F	襯
8B6C	譬
4FF8	俸
576F	坯
58BE	墾
8017	耗
8543	蕃
5CFD	峽
7239	爹
7280	犀
720D	爍
6A38	樸
56A8	嚨
8718	蜘
84B8	蒸
5CA1	岡
7168	煨
4E58	乘
9704	霄
803F	耿
5B38	嬸
55CE	嗎
59EA	姪
7A62	穢
52A3	劣
8607	蘇
5448	呈
8CE6	賦
5960	奠
624E	扎
4EF2	仲
7D33	紳
8D08	贈
5BDE	寞
6C88	沈
51F3	凳
5BF5	寵
5653	噓
55E3	嗣
7525	甥
7DDD	緝
4E18	丘
7FCE	翎
970D	霍
9826	頦
69A8	榨
7DB1	綱
67B4	枴
6B96	殖
6413	搓
9041	遁
5E63	幣
6F8E	澎
5112	儒
7CA5	粥
51F1	凱
9DF9	鷹
620A	戊
81FC	臼
51A5	冥
614C	慌
65EC	旬
66E0	曠
81E5	臥
8DE4	跤
66AE	暮
746A	瑪
5629	嘩
6046	恆
78C1	磁
8882	袂
5984	妄
8523	蔣
5132	儲
8F44	轄
8096	肖
9A37	騷
5384	厄
99F1	駱
5DEB	巫
6355	捕
68F2	棲
90A6	邦
5582	喂
51F8	凸
56B7	嚷
660C	昌
5E1B	帛
6FA4	澤
7CDD	糝
64CE	擎
775B	睛
50C5	僅
9F61	齡
786B	硫
5011	們
54F2	哲
819D	膝
7CB1	粱
6674	晴
6FF1	濱
8266	艦
6BEB	毫
62AC	抬
56C2	囂
6C59	汙
9042	遂
5527	唧
6953	楓
61AB	憫
905E	遞
8FF0	述
7464	瑤
4FCA	俊
816E	腮
8F1D	輝
5955	奕
56D1	囑
5403	吃
8DDD	距
9444	鑄
54BB	咻
5657	噗
7DDE	緞
7409	琉
75A5	疥
5D14	崔
9756	靖
533E	匾
7A1C	稜
4ECD	仍
7F72	署
5AB3	媳
6897	梗
5E7B	幻
9D3F	鴿
7372	獲
9A5B	驛
5495	咕
5967	奧
60F6	惶
818A	膊
5BB0	宰
9031	週
8259	艙
51F0	凰
7656	癖
57C3	埃
5BC7	寇
5EB5	庵
7164	煤
761F	瘟
9A30	騰
9698	隘
76C8	盈
6055	恕
970E	霎
98FE	飾
5EEC	廬
6558	敘
6DD2	淒
6089	悉
6C93	沓
8E81	躁
8A95	誕
8E8D	躍
8A15	訕
676D	杭
53DB	叛
5471	呱
5514	唔
840E	萎
542D	吭
6A1F	樟
964B	陋
8ACD	諍
888D	袍
760D	瘍
5254	剔
87C4	蟄
54CE	哎
711A	焚
6620	映
5954	奔
8F12	輒
8513	蔓
507D	偽
574A	坊
7E6B	繫
6499	撙
7893	碓
62C7	拇
7FBD	羽
64EC	擬
8ABC	誼
5F6D	彭
74E3	瓣
620C	戌
834A	荊
8389	莉
5EB8	庸
61F5	懵
6144	慄
6FFE	濾
7149	煉
8FA8	辨
7A4C	穌
9F3E	鼾
6FFA	濺
9706	霆
62FC	拼
5306	匆
8D16	贖
7DBB	綻
8E7A	蹺
6123	愣
6020	怠
88D8	裘
53E2	叢
80D6	胖
6813	栓
9C78	鱸
52D8	勘
6BAE	殮
5C39	尹
6A80	檀
9921	餡
9298	銘
5C65	履
6DF5	淵
54E6	哦
6CCA	泊
5617	嘗
7B77	筷
6D69	浩
9375	鍵
63ED	揭
5B9B	宛
6602	昂
60D1	惑
6127	愧
5026	倦
539D	厝
5EF7	廷
63DC	揜
9811	頑
88F8	裸
559A	喚
62D3	拓
60A0	悠
6346	捆
5B99	宙
7C6E	籮
7901	礁
7C38	簸
95B1	閱
4EA2	亢
56DD	囝
8354	荔
5F88	很
5A62	婢
6954	楔
4E9B	些
90C1	郁
4F6F	佯
689F	梟
7C07	簇
5021	倡
929C	銜
58A9	墩
6FD5	濕
5A1B	娛
563F	嘿
6F09	漉
6043	恃
79B1	禱
8B39	謹
6DB8	涸
5D4C	嵌
5E54	幔
6C27	氧
6019	怙
8877	衷
5506	唆
7078	灸
9935	餵
6CBC	沼
5443	呃
7766	睦
8B17	謗
5118	儘
5B55	孕
8DBE	趾
617E	慾
7435	琵
611A	愚
7F8C	羌
5EC8	廈
7E96	纖
5A9A	媚
8C41	豁
8FE6	迦
80F1	胱
