5B66	学
6226	戦
5DE3	巣
7D9A	続
5E2F	帯
5358	単
50CD	働
8FBA	辺
5909	変
6E80	満
6B74	歴
52B4	労
9332	録
5727	圧
55B6	営
5FDC	応
685C	桜
4EEE	仮
4FA1	価
7D4C	経
967A	険
691C	検
52B9	効
9271	鉱
67FB	査
96D1	雑
8CDB	賛
820E	舎
7D76	絶
92AD	銭
7DCF	総
5897	増
56E3	団
5FB3	徳
4ECF	仏
62E1	拡
5DFB	巻
90F7	郷
6A29	権
53B3	厳
6E08	済
53CE	収
8846	衆
5F93	従
7E26	縦
51E6	処
5C02	専
7A93	窓
8535	蔵
81D3	臓
5024	値
5E81	庁
8133	脳
62DD	拝
6669	晩
8A33	訳
89A7	覧
6483	撃
6CA2	沢
5EC3	廃
7D99	継
6B73	歳
8FBC	込
95D8	闘
66A6	暦
702C	瀬
5F3E	弾
67A0	枠
5FB4	徴
6075	恵
9F62	齢
4E9C	亜
983C	頼
58CA	壊
629C	抜
63B2	掲
7ADC	竜
570F	圏
62E0	拠
99C6	駆
7A32	稲
96A3	隣
5263	剣
59EB	姫
7E04	縄
623B	戻
970A	霊
7363	獣
8074	聴
8217	舗
96A0	隠
5841	塁
91C8	釈
5BDB	寛
4E80	亀
7A42	穂
8B72	譲
629E	択
6EDD	滝
635C	捜
9045	遅
95B2	閲
7E01	縁
6803	栃
6E0B	渋
9AEA	髪
6255	払
8987	覇
5264	剤
658E	斎
8358	荘
6589	斉
52F2	勲
5D8B	嶋
8107	脇
6E09	渉
9855	顕
66FD	曽
5CE0	峠
5449	呉
6D44	浄
9665	陥
633F	挿
583A	堺
9A12	騒
8B21	謡
6442	摂
8FBB	辻
52E7	勧
7E4B	繋
6D99	涙
5968	奨
6E13	渓
546A	呪
96B7	隷
622F	戯
60A9	悩
6C5A	汚
5036	倶
85AB	薫
7B39	笹
8061	聡
61D0	懐
8B83	讃
52C5	勅
9ED9	黙
9154	酔
6681	暁
6BBB	殻
92ED	鋭
771E	眞
68B6	梶
7C8B	粋
731F	猟
72A0	犠
7E4A	繊
63FA	揺
6E15	渕
99C4	駄
932C	錬
7560	畠
6A0B	樋
7815	砕
5B22	嬢
8B90	讐
758E	疎
5270	剰
6B53	歓
7C9B	粛
9D8F	鶏
8218	舘
55B0	喰
51A8	冨
7A4F	穏
58F1	壱
7460	瑠
8F0C	輌
5CEF	峯
5EFB	廻
9EBA	麺
58CC	壌
92F3	鋳
86CD	蛍
9AC4	髄
91B8	醸
7573	畳
698A	榊
9A28	騨
60E3	惣
9B8E	鮎
9262	鉢
5DCC	巌
6A2B	樫
5B8D	宍
9061	遡
565B	噛
56A2	嚢
91A4	醤
5F10	弐
9EBF	麿
5302	匂
8276	艶
6955	楕
59AC	妬
5A2F	娯
514E	兎
51B4	冴
685F	桟
69C7	槇
5451	呑
9013	逓
7BED	篭
96EB	雫
6E07	渇
97EE	韮
55A9	喩
9EB9	麹
FA11	﨑
567A	噺
51EA	凪
982C	頬
5700	圀
976D	靭
6F11	漑
9D0E	鴎
72DB	狛
9AD9	髙
9C10	鰐
8597	薗
63BB	掻
75E9	痩
7114	焔
5840	塀
874B	蝋
6E8C	溌
98DC	飜
5516	唖
8FB7	辷
6FF6	濶
7B92	箒
6900	椀
64E7	擧
5C53	屓
7E4D	繍
5039	倹
6D9C	涜
936E	鍮
71D7	燗
8EBE	躾
8FDA	迚
53A0	厠
9C2F	鰯
51E7	凧
8EB0	躰
9197	醗
654D	敍
7A50	穐
9BF5	鯵
9D2C	鴬
64B9	撹
691B	椛
6F45	潅
7C82	粂
7A63	穣
8CCE	賎
68BC	梼
591B	夛
5AD0	嫐
5CE9	峩
5D8C	嶌
67A9	枩
67A1	枡
681E	栞
9F9D	龝
7B9A	箚
86EF	蛯
9056	遖
7690	皐
82C5	苅
9089	邉
7155	煕
7AEA	竪
99C8	駈
545F	呟
7232	爲
983D	頽
64E1	擡
6B1D	欝
60A7	悧
5C20	尠
58DC	壜
7AC8	竈
87C7	蟇
71F5	燵
6736	朶
98EE	飮
9D5E	鵞
8904	褄
4FE4	俤
8E99	躙
7E92	纒
8977	襷
56D8	囘
8D0B	贋
9E78	鹸
5078	偸
7287	犇
885E	衞
6268	扨
4F1C	伜
7CFA	糺
5301	匁
8EC8	軈
57D3	埓
7F4E	罎
9B2A	鬪
9F08	鼈
7ADD	竝
5E47	幇
805F	聟
603A	怺
6F81	澁
84D9	蓙
9C0C	鰌
50DE	僞
5B36	嬶
6159	慙
685D	桝
59D9	姙
5FF0	忰
5DD3	巓
7A7D	穽
6E82	溂
8420	萠
92F2	鋲
986C	顬
920E	鈎
559E	喞
93AD	鎭
984B	顋
751E	甞
839F	莟
5204	刄
6318	挘
6961	楡
7C7E	籾
5307	匇
8323	茣
568A	嚊
7B86	箆
877F	蝿
8C3A	谺
9771	靱
898A	覊
958A	閊
98AA	颪
613C	愼
9942	饂
6762	杢
9834	頴
7AC3	竃
8ACC	諌
5C2D	尭
981A	頚
783F	砿
9D2B	鴫
6919	椙
6802	栂
58F7	壷
701E	瀞
5EFC	廼
6973	楳
7872	硲
67FE	柾
4FAD	侭
9453	鑓
5F0C	弌
4E8A	亊
5F0D	弍
4EB0	亰
4EED	仭
5050	偐
5056	偖
5101	儁
5116	儖
7AF8	竸
516A	兪
51A6	冦
51A9	冩
51E9	凩
51FE	凾
520B	刋
5214	刔
5227	刧
524F	剏
5273	剳
5294	劔
5292	劒
5271	剱
8FA7	辧
52B5	劵
52E0	勠
5333	匳
5346	卆
4E17	丗
51D6	凖
5918	夘
53B0	厰
7C12	簒
53FA	叺
54D8	哘
554C	啌
555D	啝
5650	噐
56A0	嚠
5694	嚔
56CE	囎
5726	圦
5737	圷
5738	圸
57C0	埀
5788	垈
577F	坿
5789	垉
57B3	垳
57AA	垪
57B0	垰
57D6	埖
5870	塰
58B9	墹
58B8	墸
58D7	壗
58E5	壥
58FB	壻
5910	夐
5932	夲
7AD2	竒
596C	奬
4FAB	侫
5A1A	娚
6588	斈
5BC3	寃
5BC9	寉
5BF3	寳
5C05	尅
5C13	尓
4E62	乢
5C76	屶
599B	妛
5CBB	岻
5CBC	岼
5CC5	峅
5CBE	岾
5CFA	峺
5D15	崕
5D5C	嵜
5D18	崘
5D73	嵳
5D76	嵶
5D90	嶐
5DF5	巵
5E0B	帋
5E64	幤
5ED0	廐
5ECF	廏
5EF0	廰
5EF8	廸
5F09	弉
5F5C	彜
5F16	弖
5F41	彁
5F83	徃
60B3	悳
6060	恠
6031	怱
6077	恷
604A	恊
608B	悋
6121	愡
613D	愽
6142	慂
616F	慯
6199	憙
6187	憇
61F4	懴
621E	戞
6282	抂
6327	挧
63B5	掵
64F6	擶
6505	攅
65D9	旙
6644	晄
6667	晧
6683	暃
668E	暎
66C1	曁
