4E00	一
4E9B	些
7B2C	第
624D	才
7406	理
9AD4	體
4E8B	事
516C	公
592A	太
90E8	部
6A5F	機
5EA6	度
8A71	話
8DDF	跟
6BCF	每
660E	明
7B49	等
982D	頭
539F	原
5DF2	已
653E	放
76F4	直
7247	片
7DB2	網
5225	別
5F9E	從
63A5	接
5169	兩
96FB	電
60C5	情
8EAB	身
4E3B	主
95DC	關
8A18	記
505A	做
7269	物
8D85	超
61C9	應
7D66	給
6B63	正
53E3	口
6C23	氣
5427	吧
529B	力
6C34	水
5DF1	己
559C	喜
6B61	歡
53CA	及
9078	選
7D50	結
8ACB	請
5149	光
82B1	花
5403	吃
6599	料
8F03	較
5834	場
5E7E	幾
6253	打
5C11	少
671F	期
9577	長
7167	照
8FD1	近
5305	包
5FEB	快
6D3B	活
5E36	帶
683C	格
5B78	學
4F7F	使
63D0	提
628A	把
8A72	該
8001	老
767D	白
53CB	友
554F	問
8868	表
865F	號
670D	服
5DE5	工
4FBF	便
4E14	且
975E	非
5E97	店
6B64	此
5340	區
6027	性
5716	圖
901A	通
5E73	平
908A	邊
98DF	食
9023	連
6EFF	滿
8B8A	變
88AB	被
88DD	裝
7A0B	程
59CB	始
8A2D	設
5C07	將
76EE	目
9580	門
4EC0	什
4ECA	今
5473	味
91CF	量
6708	月
5316	化
53D7	受
8A08	計
71B1	熱
9664	除
4EAB	享
7A7A	空
932F	錯
5BB9	容
5019	候
6E05	清
7531	由
696D	業
627E	找
898B	見
8005	者
81F3	至
7E8C	續
7C21	簡
8D70	走
5F71	影
8CB7	買
5B89	安
4EE3	代
50F9	價
7B97	算
7D04	約
5C08	專
9700	需
8CC7	資
984C	題
63A8	推
578B	型
5229	利
4FDD	保
4E26	並
8655	處
96D6	雖
5973	女
8A31	許
9910	餐
4F55	何
6821	校
5F1F	弟
653F	政
9EE8	黨
9673	陳
5475	呵
820D	舍
6A02	樂
9999	香
7AD9	站
7DDA	線
7E3D	總
8CEA	質
5404	各
914D	配
7CBE	精
91D1	金
53E6	另
5594	喔
7AE0	章
89E3	解
5462	呢
96E3	難
5373	即
642D	搭
7D05	紅
5566	啦
4ECB	介
9069	適
670B	朋
9020	造
5EFA	建
7BC7	篇
89C0	觀
6536	收
5F35	張
8ECA	車
4EFD	份
6578	數
62CD	拍
65E9	早
904B	運
6D77	海
5099	備
4F4F	住
8A8D	認
99AC	馬
985E	類
55CE	嗎
8CBB	費
5B83	它
773C	眼
7C89	粉
8F49	轉
5FC5	必
544A	告
5B57	字
62FF	拿
8B80	讀
7CFB	系
5E6B	幫
6392	排
4E45	久
5E95	底
8ABF	調
8A66	試
600E	怎
6D41	流
5F80	往
5177	具
822C	般
795E	神
52D9	務
671B	望
7ACB	立
4FE1	信
5E2B	師
6CB9	油
525B	剛
8996	視
4EF6	件
6E96	準
724C	牌
7522	產
665A	晚
53D6	取
6B65	步
7D30	細
9996	首
5F37	強
57FA	基
537B	卻
8F15	輕
5920	夠
5BEB	寫
529F	功
7BC0	節
534A	半
56C9	囉
96A8	隨
62C9	拉
5247	則
6539	改
6BB5	段
9ED1	黑
7D39	紹
7559	留
963F	阿
4EA4	交
50B3	傳
6613	易
5F85	待
9054	達
6559	教
5DEE	差
7E7C	繼
89D2	角
95B1	閱
8003	考
5546	商
904A	遊
5C71	山
6307	指
843D	落
8089	肉
6D88	消
512A	優
661F	星
8A00	言
689D	條
514D	免
7BA1	管
8CFC	購
4E16	世
7D72	絲
793A	示
5411	向
64C7	擇
5831	報
6EAB	溫
7D1A	級
5217	列
8FA6	辦
76AE	皮
8A0A	訊
9A57	驗
73A9	玩
6301	持
807D	聽
88FD	製
7F6E	置
63DB	換
5152	兒
96E2	離
83DC	菜
756B	畫
5207	切
5947	奇
66F8	書
4F9B	供
5718	團
5C55	展
5F62	形
6DF1	深
53F8	司
8208	興
8DB3	足
89AA	親
53CD	反
666F	景
4E4E	乎
5FF5	念
754C	界
6CE8	注
54EA	哪
4E7E	乾
601D	思
54E1	員
7D42	終
65C5	旅
706B	火
98EF	飯
9001	送
71DF	營
4EFB	任
8CE3	賣
4EAE	亮
554A	啊
7FA9	義
751C	甜
5712	園
9644	附
5348	午
6A19	標
7248	版
9810	預
9806	順
503C	值
8DA3	趣
606F	息
5C0E	導
6C42	求
6C7A	決
78BA	確
9650	限
7D71	統
7A31	稱
986F	顯
5B69	孩
7A7F	穿
74B0	環
5E0C	希
5361	卡
96C6	集
4F9D	依
9E97	麗
97F3	音
8B70	議
672A	未
5275	創
623F	房
5931	失
8CBC	貼
6839	根
5047	假
6389	掉
6B3E	款
6750	材
5F15	引
990A	養
9EC3	黃
5740	址
8D8A	越
9322	錢
5EF3	廳
6548	效
9928	館
5668	器
72C0	狀
54C8	哈
9BAE	鮮
5509	唉
5E03	布
798F	福
9060	遠
725B	牛
8853	術
5957	套
559D	喝
5C64	層
7D55	絕
900F	透
79AE	禮
8C61	象
9418	鐘
7D44	組
7537	男
614B	態
4F4E	低
6309	按
8AD6	論
5883	境
86CB	蛋
591C	夜
6015	怕
7ADF	竟
6975	極
521D	初
4F3C	似
58EB	士
8863	衣
514B	克
5B9C	宜
901F	速
52A9	助
51B7	冷
5BA4	室
5145	充
7C73	米
5C6C	屬
65C1	旁
5496	咖
5171	共
96D9	雙
6E6F	湯
82E5	若
85A6	薦
9EB5	麵
5B98	官
7FD2	習
55EF	嗯
9B06	鬆
6545	故
53EB	叫
547D	命
5979	她
5BC6	密
5DF4	巴
8857	街
6A21	模
8B1D	謝
5438	吸
8B77	護
9EBB	麻
8072	聲
6A13	樓
767B	登
9805	項
73ED	班
6CC1	況
8212	舒
751A	甚
6982	概
7B11	笑
8CB4	貴
6280	技
5BF6	寶
9152	酒
523B	刻
8173	腳
8CA8	貨
5C45	居
6848	案
5FD8	忘
8DD1	跑
969B	際
8FF7	迷
677F	板
542B	含
9A5A	驚
806F	聯
5BB3	害
57CE	城
53E4	古
4FEE	修
589E	增
5E78	幸
5370	印
60A8	您
5750	坐
584A	塊
55DA	嗚
82F1	英
505C	停
80CC	背
51B0	冰
9B5A	魚
5012	倒
5EE3	廣
85DD	藝
5DE7	巧
5EA7	座
7DAD	維
7368	獨
5468	周
6C99	沙
96DC	雜
81C9	臉
7D20	素
7968	票
8B58	識
4F8B	例
5561	啡
5ABD	媽
6F14	演
5B58	存
6797	林
898F	規
6230	戰
6E90	源
7D00	紀
719F	熟
9801	頁
5236	制
5EB7	康
652F	支
9047	遇
9752	青
58D3	壓
5426	否
8349	草
98F2	飲
684C	桌
7DCA	緊
4F11	休
81F4	致
6311	挑
8B9A	讚
88DC	補
4FC2	係
4EE4	令
6728	木
984F	顏
7570	異
967D	陽
8B1B	講
8A02	訂
8F09	載
9304	錄
5F69	彩
8B49	證
5BCC	富
6B62	止
9031	週
6162	慢
820A	舊
96DE	雞
5FB7	德
85CF	藏
67E5	查
738B	王
5065	健
7403	球
5C1A	尚
7562	畢
65B7	斷
6BDB	毛
6FC3	濃
5C0B	尋
8166	腦
68D2	棒
76E4	盤
9867	顧
9694	隔
9435	鐵
570D	圍
5976	奶
6D17	洗
7BB1	箱
8036	耶
6B7B	死
676F	杯
6CE1	泡
7DA0	綠
7834	破
77ED	短
7CD6	糖
602A	怪
62DB	招
66FE	曾
98FE	飾
5FA9	復
9808	須
91AC	醬
723E	爾
7D14	純
7FFB	翻
9F8D	龍
79D1	科
76E1	盡
793E	社
6D0B	洋
7DE8	編
64D4	擔
9732	露
71D2	燒
98FD	飽
82E6	苦
78BC	碼
7A81	突
5B63	季
64DA	據
79C1	私
6B50	歐
5FD9	忙
5C4B	屋
5537	唷
6DE1	淡
8C46	豆
77F3	石
97FF	響
968A	隊
5922	夢
4F73	佳
89BD	覽
51AC	冬
64FA	擺
8840	血
786C	硬
65AF	斯
98DB	飛
8DF3	跳
6AA2	檢
9846	顆
5178	典
5EF6	延
9632	防
773E	眾
6295	投
539A	厚
9748	靈
70E4	烤
6232	戲
85CD	藍
59D0	姐
8C50	豐
96BB	隻
7A76	究
862D	蘭
6D6A	浪
6DE8	淨
590F	夏
4ED4	仔
8A55	評
6563	散
6236	戶
9178	酸
883B	蠻
6B77	歷
5708	圈
5584	善
975C	靜
4E82	亂
9760	靠
8A62	詢
7B46	筆
63A1	採
91CC	里
8056	聖
6469	摩
8A0E	討
61F7	懷
64C1	擁
8209	舉
8A8C	誌
8D95	趕
6BCD	母
67B6	架
9905	餅
7A0D	稍
84CB	蓋
4E9E	亞
6C38	永
651D	攝
934B	鍋
7761	睡
805E	聞
5287	劇
97D3	韓
50B7	傷
6298	折
50C5	僅
67D0	某
9818	領
9858	願
504F	偏
6F6E	潮
7BC4	範
7D19	紙
7206	爆
8CDE	賞
59B9	妹
6E2F	港
666E	普
7701	省
6C41	汁
79CB	秋
6ED1	滑
96C5	雅
6436	搶
5C24	尤
6F02	漂
52E2	勢
695A	楚
6CE2	波
5747	均
901B	逛
547C	呼
675F	束
6AC3	櫃
9802	頂
9663	陣
888B	袋
8A2A	訪
8AA4	誤
5E55	幕
6F2B	漫
62DC	拜
6843	桃
723D	爽
6625	春
7FA4	群
7F3A	缺
60DC	惜
63A7	控
8AB0	誰
5347	升
9192	醒
8AB2	課
71C8	燈
804A	聊
9662	院
5802	堂
7814	研
7565	略
7F85	羅
592B	夫
75DB	痛
5283	劃
6B72	歲
6A94	檔
6163	慣
6B0A	權
96B1	隱
8907	複
8FA3	辣
5440	呀
93E1	鏡
58DE	壞
8A34	訴
8C93	貓
5EDA	廚
641E	搞
6DBC	涼
8F38	輸
8FFD	追
72C2	狂
4F38	伸
54E5	哥
6E1B	減
7D61	絡
8CA0	負
7AEF	端
871C	蜜
6D32	洲
62B1	抱
552E	售
716E	煮
633A	挺
885D	衝
91AB	醫
9592	閒
7372	獲
571F	土
4ED8	付
5AE9	嫩
7387	率
4E73	乳
8584	薄
53F2	史
7169	煩
91CE	野
61C2	懂
5C3C	尼
8106	脆
8F2F	輯
7BC9	築
7591	疑
59B3	妳
56B4	嚴
7B54	答
5F48	彈
96AA	險
6696	暖
805A	聚
667A	智
67D4	柔
96E8	雨
