34DF	㓟
7ACA	竊
7ACB	立
7AD1	竑
7AD9	站
7ADF	竟
7AE0	章
7AE3	竣
7AE5	童
7AED	竭
7AEF	端
7AF6	競
7AF9	竹
7AFA	竺
7AFD	竽
7AFF	竿
7B06	笆
7B08	笈
7B0B	笋
7B0F	笏
7B11	笑
7B19	笙
7B1B	笛
7B1E	笞
7B20	笠
7B26	符
7B28	笨
7B2B	笫
7B2C	第
7B31	笱
7B33	笳
7B45	筅
7B46	筆
7B48	筈
7B49	等
7B4A	筊
7B4B	筋
7B4C	筌
7B4D	筍
7B4F	筏
7B50	筐
7B51	筑
7B52	筒
7B54	答
7B56	策
7B60	筠
7B65	筥
7B66	筦
7B67	筧
7B6E	筮
7B71	筱
7B72	筲
7B74	筴
7B75	筵
7B77	筷
7B82	箂
7B87	箇
7B88	箈
7B8B	箋
7B8D	箍
7B8E	箎
7B8F	箏
7B90	箐
7B94	箔
7B95	箕
7B97	算
7B9D	箝
7BA1	管
7BAC	箬
7BAD	箭
7BB1	箱
7BB4	箴
7BB8	箸
7BC0	節
7BC1	篁
7BC4	範
7BC6	篆
7BC7	篇
7BC9	築
7BCB	篋
7BD9	篙
7BDB	篛
7BDC	篜
7BDD	篝
7BE0	篠
7BE1	篡
7BE4	篤
7BE6	篦
7BE9	篩
7BF3	篳
7BF7	篷
7BF8	篸
7BFE	篾
7C07	簇
7C0B	簋
7C0C	簌
7C0D	簍
7C0F	簏
7C11	簑
7C1E	簞
7C21	簡
7C23	簣
7C25	簥
7C27	簧
7C2A	簪
7C2B	簫
7C37	簷
7C38	簸
7C3D	簽
7C3E	簾
7C3F	簿
7C40	籀
7C43	籃
7C4C	籌
7C4D	籍
7C50	籐
7C53	籓
7C54	籔
7C59	籙
7C5A	籚
7C5F	籟
7C60	籠
7C64	籤
7C65	籥
7C69	籩
7C6C	籬
7C6E	籮
7C72	籲
7C73	米
7C7D	籽
7C84	粄
7C89	粉
7C91	粑
7C92	粒
7C95	粕
7C97	粗
7C98	粘
7C9F	粟
7CA5	粥
7CA7	粧
7CB1	粱
7CB2	粲
7CB3	粳
7CB5	粵
7CB9	粹
7CBC	粼
7CBD	粽
7CBE	精
7CBF	粿
7CC5	糅
7CCA	糊
7CCC	糌
7CCD	糍
7CD5	糕
7CD6	糖
7CD7	糗
7CD9	糙
7CDC	糜
7CDE	糞
7CDF	糟
7CE0	糠
7CE2	糢
7CE7	糧
7CE8	糨
7CEC	糬
7CEF	糯
7CF0	糰
7CF4	糴
7CF6	糶
7CF8	糸
7CFB	系
7CFE	糾
7D00	紀
7D02	紂
7D04	約
7D05	紅
7D06	紆
7D08	紈
7D09	紉
7D0A	紊
7D0B	紋
7D0D	納
7D10	紐
7D13	紓
7D14	純
7D15	紕
7D17	紗
7D18	紘
7D19	紙
7D1A	級
7D1B	紛
7D1C	紜
7D20	素
7D21	紡
7D22	索
7D2B	紫
7D2C	紬
7D2E	紮
7D2F	累
7D30	細
7D33	紳
7D39	紹
7D3A	紺
7D40	絀
7D42	終
7D43	絃
7D44	組
7D46	絆
7D50	結
7D55	絕
7D5B	絛
7D5C	絜
7D5D	絝
7D5E	絞
7D61	絡
7D62	絢
7D63	絣
7D66	給
7D68	絨
7D6A	絪
7D6E	絮
7D71	統
7D72	絲
7D73	絳
7D79	絹
7D80	綀
7D81	綁
7D83	綃
7D89	綉
7D8F	綏
7D91	綑
7D93	經
7D9C	綜
7D9E	綞
7DA0	綠
7DA2	綢
7DA3	綣
7DAB	綫
7DAC	綬
7DAD	維
7DB0	綰
7DB1	綱
7DB2	網
7DB4	綴
7DB5	綵
7DB7	綷
7DB8	綸
7DB9	綹
7DBA	綺
7DBB	綻
7DBD	綽
7DBE	綾
7DBF	綿
7DC1	緁
7DC7	緇
7DCA	緊
7DCB	緋
7DD2	緒
7DD7	緗
7DD8	緘
7DDA	線
7DDD	緝
7DDE	緞
7DE0	締
7DE3	緣
7DE6	緦
7DE8	編
7DE9	緩
7DEC	緬
7DEF	緯
7DF2	緲
7DF4	練
7DF9	緹
7DFB	緻
7E08	縈
7E09	縉
7E0A	縊
7E10	縐
7E11	縑
7E1B	縛
7E1D	縝
7E1E	縞
7E1F	縟
7E20	縠
7E23	縣
7E29	縩
7E2B	縫
7E2D	縭
7E2E	縮
7E2F	縯
7E31	縱
7E32	縲
7E33	縳
7E34	縴
7E35	縵
7E37	縷
7E39	縹
7E3D	總
7E3E	績
7E41	繁
7E43	繃
7E46	繆
7E47	繇
7E54	織
7E55	繕
7E56	繖
7E5A	繚
7E5E	繞
7E61	繡
7E69	繩
7E6A	繪
7E6B	繫
7E6D	繭
7E6F	繯
7E70	繰
7E73	繳
7E79	繹
7E7C	繼
7E7D	繽
7E7E	繾
7E82	纂
7E87	纇
7E88	纈
7E8C	續
7E8D	纍
7E8F	纏
7E93	纓
7E94	纔
7E96	纖
7E99	纙
7E9B	纛
7E9C	纜
7F36	缶
7F38	缸
7F3A	缺
7F3D	缽
7F44	罄
7F45	罅
7F48	罈
7F4C	罌
7F50	罐
7F51	网
7F54	罔
7F55	罕
7F5D	罝
7F5F	罟
7F60	罠
7F61	罡
7F63	罣
7F69	罩
7F6A	罪
7F6B	罫
7F6E	置
7F70	罰
7F72	署
7F75	罵
7F77	罷
7F79	罹
7F85	羅
7F86	羆
7F87	羇
7F88	羈
7F8A	羊
7F8B	羋
7F8C	羌
7F8E	美
7F91	羑
7F94	羔
7F97	羗
7F9A	羚
7F9E	羞
7FA1	羡
7FA4	群
7FA5	羥
7FA7	羧
7FA8	羨
7FA9	義
7FAF	羯
7FB2	羲
7FB6	羶
7FB8	羸
7FB9	羹
7FBD	羽
7FBF	羿
7FC1	翁
7FC5	翅
7FCA	翊
7FCC	翌
7FCE	翎
7FD2	習
7FD4	翔
7FD5	翕
7FDF	翟
7FE0	翠
7FE1	翡
7FE6	翦
7FE9	翩
7FEB	翫
7FEC	翬
7FF0	翰
7FF1	翱
7FF3	翳
7FF9	翹
7FFB	翻
7FFC	翼
7FFE	翾
8000	耀
8001	老
8003	考
8004	耄
8005	者
8006	耆
800B	耋
800C	而
800D	耍
8010	耐
8015	耕
8017	耗
8018	耘
8019	耙
8026	耦
8028	耨
8033	耳
8036	耶
8037	耷
803D	耽
803F	耿
8043	聃
8046	聆
804A	聊
8052	聒
8056	聖
8058	聘
805A	聚
805E	聞
806F	聯
8070	聰
8071	聱
8072	聲
8073	聳
8076	聶
8077	職
807D	聽
807E	聾
807F	聿
8084	肄
8085	肅
8086	肆
8087	肇
8089	肉
808B	肋
808C	肌
8093	肓
8096	肖
8098	肘
809A	肚
809B	肛
809D	肝
80A1	股
80A2	肢
80A5	肥
80A9	肩
80AA	肪
80AB	肫
80AE	肮
80AF	肯
80B1	肱
80B2	育
80B4	肴
80B6	肶
80BA	肺
80C3	胃
80C4	胄
80C6	胆
80C7	胇
80CC	背
80CD	胍
80CE	胎
80D5	胕
80D6	胖
80D7	胗
80DA	胚
80DB	胛
80DC	胜
80DD	胝
80DE	胞
80E1	胡
80E4	胤
80E5	胥
80ED	胭
80EF	胯
80F0	胰
80F1	胱
80F3	胳
80F4	胴
80F8	胸
80FA	胺
80FD	能
8102	脂
8105	脅
8106	脆
8108	脈
810A	脊
8115	脕
8116	脖
8117	脗
8118	脘
811B	脛
8122	脢
8123	脣
8124	脤
8125	脥
8129	脩
812B	脫
812F	脯
8137	脷
8139	脹
813E	脾
8146	腆
814A	腊
814B	腋
814C	腌
814E	腎
8150	腐
8151	腑
8153	腓
8154	腔
8155	腕
8165	腥
8166	腦
8167	腧
8169	腩
816B	腫
816E	腮
8170	腰
8171	腱
8173	腳
8174	腴
8178	腸
8179	腹
817A	腺
817F	腿
8180	膀
8186	膆
8188	膈
818A	膊
818D	膍
818F	膏
8195	膕
8198	膘
819A	膚
819B	膛
819C	膜
819D	膝
81A0	膠
81A8	膨
81A9	膩
81AB	膫
81B3	膳
81B6	膶
81BA	膺
81BB	膻
81BD	膽
81BE	膾
81BF	膿
81C0	臀
81C2	臂
81C3	臃
81C6	臆
81C9	臉
81CA	臊
81CD	臍
81CF	臏
81D1	臑
81D8	臘
81DA	臚
81DF	臟
81E0	臠
81E3	臣
81E5	臥
81E7	臧
81E8	臨
81EA	自
81EC	臬
81ED	臭
81F3	至
81F4	致
81FA	臺
81FB	臻
81FC	臼
81FE	臾
8200	舀
8202	舂
8205	舅
8207	與
8208	興
8209	舉
820A	舊
820C	舌
820D	舍
8210	舐
8212	舒
8214	舔
8216	舖
8218	舘
821B	舛
821C	舜
821E	舞
821F	舟
8222	舢
8228	舨
822A	航
822B	舫
822C	般
8235	舵
8236	舶
8237	舷
8239	船
823A	舺
8244	艄
8247	艇
824B	艋
8258	艘
8259	艙
8266	艦
826E	艮
826F	良
8271	艱
8272	色
8275	艵
8277	艷
8278	艸
827D	艽
827E	艾
827F	艿
8283	芃
828A	芊
828B	芋
828D	芍
828E	芎
8292	芒
8299	芙
829D	芝
82A1	芡
82A2	芢
82A5	芥
82A7	芧
82A8	芨
82A9	芩
82AB	芫
82AC	芬
82AD	芭
82AE	芮
82AF	芯
82B0	芰
82B1	花
82B3	芳
82B4	芴
82B6	芶
82B7	芷
82B8	芸
82B9	芹
82BB	芻
82BD	芽
82BE	芾
82D1	苑
82D2	苒
82D3	苓
82D4	苔
82D6	苖
82D7	苗
82D9	苙
82DB	苛
82DC	苜
82DE	苞
82DF	苟
82E1	苡
82E3	苣
82E5	若
82E6	苦
82E7	苧
82EB	苫
82EF	苯
82F1	英
82F3	苳
82F7	苷
82F9	苹
82FA	苺
82FE	苾
8301	茁
8302	茂
8303	范
8304	茄
8305	茅
8306	茆
8309	茉
830D	茍
8316	茖
8317	茗
831C	茜
8328	茨
832B	茫
832C	茬
832D	茭
832F	茯
8331	茱
8332	茲
8334	茴
8335	茵
8336	茶
8338	茸
8339	茹
833C	茼
8340	荀
8343	荃
8347	荇
8349	草
834A	荊
834B	荋
834F	荏
8350	荐
8352	荒
8354	荔
8356	荖
8373	荳
8377	荷
8378	荸
837B	荻
837C	荼
837D	荽
8386	莆
8389	莉
838A	莊
838E	莎
8392	莒
8393	莓
8396	莖
8398	莘
839E	莞
83A0	莠
83A2	莢
83A6	莦
83A7	莧
83A8	莨
83AA	莪
83AB	莫
83AF	莯
83BD	莽
83BF	莿
83C0	菀
83C1	菁
83C3	菃
83C4	菄
83C5	菅
83C7	菇
83C8	菈
83CA	菊
83CB	菋
83CC	菌
83CF	菏
83D3	菓
83D4	菔
83D6	菖
83D8	菘
83DC	菜
83DF	菟
83E0	菠
83E1	菡
83E9	菩
83EB	菫
83EF	華
83F1	菱
83F2	菲
83F4	菴
83F8	菸
83FD	菽
8401	萁
8403	萃
8404	萄
8406	萆
8407	萇
840A	萊
840B	萋
840C	萌
840D	萍
840E	萎
8411	萑
8423	萣
8429	萩
842C	萬
8431	萱
8435	萵
8436	萶
8438	萸
843C	萼
843D	落
8446	葆
8447	葇
8449	葉
8457	著
845A	葚
845B	葛
8461	葡
8463	董
8465	葥
8466	葦
8469	葩
846B	葫
846C	葬
846D	葭
846F	葯
8471	葱
8473	葳
8475	葵
8476	葶
8477	葷
847A	葺
8482	蒂
848E	蒎
8490	蒐
8494	蒔
8499	蒙
849C	蒜
849E	蒞
849F	蒟
84A1	蒡
84A8	蒨
84AE	蒮
84AF	蒯
84B2	蒲
84B4	蒴
84B6	蒶
84B8	蒸
84BA	蒺
84BB	蒻
84BC	蒼
84BD	蒽
84BF	蒿
84C0	蓀
84C1	蓁
84C4	蓄
84C6	蓆
84C9	蓉
84CA	蓊
84CB	蓋
84CD	蓍
84CF	蓏
84D1	蓑
84D3	蓓
84D6	蓖
84E8	蓨
84EC	蓬
84EE	蓮
84EF	蓯
84FC	蓼
84FD	蓽
84FF	蓿
8511	蔑
8513	蔓
8514	蔔
8515	蔕
8517	蔗
8518	蔘
851A	蔚
851E	蔞
8521	蔡
8523	蔣
8525	蔥
8526	蔦
852B	蔫
852C	蔬
852D	蔭
8534	蔴
853B	蔻
853D	蔽
853E	蔾
8541	蕁
8543	蕃
8545	蕅
8548	蕈
8549	蕉
854A	蕊
854E	蕎
8553	蕓
8557	蕗
8559	蕙
855E	蕞
8564	蕤
8568	蕨
8569	蕩
856A	蕪
856C	蕬
856D	蕭
8579	蕹
857E	蕾
8584	薄
8586	薆
8587	薇
8588	薈
858A	薊
858C	薌
858F	薏
8591	薑
8594	薔
8598	薘
8599	薙
859B	薛
859C	薜
85A2	薢
85A6	薦
85A7	薧
85A8	薨
85A9	薩
85AA	薪
85AF	薯
85B0	薰
85BA	薺
85C9	藉
85CD	藍
85CF	藏
85D0	藐
85D5	藕
85DC	藜
85DD	藝
85E4	藤
85E5	藥
85E6	藦
85E9	藩
85EA	藪
85F7	藷
85F9	藹
85FA	藺
85FB	藻
85FF	藿
8605	蘅
8606	蘆
8607	蘇
860A	蘊
860B	蘋
8611	蘑
8617	蘗
861A	蘚
8622	蘢
862D	蘭
8638	蘸
863F	蘿
864E	虎
8650	虐
8654	虔
8655	處
865B	虛
865C	虜
865E	虞
865F	號
8662	虢
8667	虧
866B	虫
8671	虱
8679	虹
867B	虻
868A	蚊
868B	蚋
868C	蚌
8693	蚓
8695	蚕
869C	蚜
869D	蚝
86A3	蚣
86A4	蚤
86A7	蚧
86A9	蚩
86AA	蚪
86AF	蚯
86B1	蚱
86B5	蚵
86B6	蚶
86BA	蚺
86C0	蛀
86C4	蛄
86C6	蛆
86C7	蛇
86C9	蛉
86CB	蛋
86D0	蛐
86D4	蛔
86D9	蛙
86DB	蛛
86DE	蛞
86DF	蛟
86E4	蛤
86E6	蛦
86ED	蛭
86F8	蛸
86F9	蛹
86FA	蛺
86FB	蛻
86FE	蛾
8700	蜀
8702	蜂
8703	蜃
8706	蜆
8707	蜇
8708	蜈
8709	蜉
870A	蜊
870D	蜍
870E	蜎
8711	蜑
8712	蜒
8713	蜓
8718	蜘
871A	蜚
871C	蜜
8721	蜡
8722	蜢
8725	蜥
8734	蜴
8737	蜷
873B	蜻
873F	蜿
874C	蝌
874E	蝎
8753	蝓
8755	蝕
8757	蝗
8759	蝙
875F	蝟
8760	蝠
8763	蝣
8766	蝦
8768	蝨
876A	蝪
8774	蝴
8776	蝶
8778	蝸
877A	蝺
8781	螁
8782	螂
8783	螃
8784	螄
8786	螆
8788	螈
878D	融
879E	螞
879F	螟
87A2	螢
87AB	螫
87AF	螯
87B3	螳
87BA	螺
87BB	螻
87BD	螽
87C0	蟀
87C4	蟄
87C5	蟅
87C6	蟆
87C8	蟈
87CB	蟋
87CC	蟌
87CE	蟎
87D1	蟑
87D2	蟒
87E0	蟠
87E5	蟥
87EC	蟬
87EF	蟯
87F2	蟲
87F3	蟳
87F4	蟴
87F6	蟶
87F9	蟹
87FB	蟻
87FE	蟾
8802	蠂
8803	蠃
8804	蠄
8805	蠅
8806	蠆
880B	蠋
880D	蠍
8811	蠑
8814	蠔
8815	蠕
881F	蠟
8821	蠡
8822	蠢
8823	蠣
8831	蠱
8835	蠵
8836	蠶
8839	蠹
883B	蠻
8840	血
884A	衊
884C	行
884D	衍
8853	術
8857	街
8859	衙
885A	衚
885B	衛
885D	衝
885E	衞
8861	衡
8862	衢
8863	衣
8868	表
8869	衩
886A	衪
886B	衫
8870	衰
8872	衲
8877	衷
8879	衹
887E	衾
887F	衿
8880	袀
8881	袁
8882	袂
8888	袈
888B	袋
888D	袍
8892	袒
8893	袓
8896	袖
889C	袜
889E	袞
88A4	袤
88AA	袪
88AB	被
88B1	袱
88B4	袴
88BA	袺
88BE	袾
88C1	裁
88C2	裂
88C7	裇
88CA	裊
88CE	裎
88CF	裏
88D4	裔
88D5	裕
88D8	裘
88D9	裙
88DC	補
88DD	裝
88DE	裞
88DF	裟
88E1	裡
88E8	裨
88F1	裱
88F3	裳
88F4	裴
88F8	裸
88F9	裹
88FD	製
8902	褂
8907	複
8910	褐
8912	褒
8913	褓
8914	褔
8919	褙
891A	褚
891F	褟
8921	褡
8925	褥
892A	褪
892B	褫
8932	褲
8935	褵
8936	褶
8938	褸
893B	褻
8941	襁
8942	襂
8944	襄
894C	襌
894F	襏
8956	襖
895A	襚
895B	襛
895C	襜
895F	襟
8960	襠
8964	襤
8966	襦
896A	襪
896C	襬
896E	襮
896F	襯
8972	襲
897F	西
8981	要
8983	覃
8986	覆
8988	覈
898B	見
898F	規
8993	覓
8995	覕
8996	視
8998	覘
899B	覛
899C	覜
89A6	覦
89AA	親
89AC	覬
89AD	覭
89B2	覲
89B7	覷
89BA	覺
89BD	覽
89BF	覿
89C0	觀
89D2	角
89D4	觔
89D5	觕
89DA	觚
89E3	解
89E4	觤
89E5	觥
89E6	触
89E9	觩
89F4	觴
89F8	觸
8A00	言
8A02	訂
8A03	訃
8A07	訇
8A08	計
8A0A	訊
8A0C	訌
8A0E	討
8A10	訐
8A13	訓
8A15	訕
8A16	訖
8A17	託
8A18	記
8A1B	訛
8A1D	訝
8A1F	訟
8A22	訢
8A23	訣
8A25	訥
8A27	訧
8A2A	訪
8A2D	設
8A31	許
8A34	訴
8A36	訶
8A3A	診
8A3B	註
8A3C	証
8A3E	訾
8A41	詁
8A46	詆
8A48	詈
8A4E	詎
8A50	詐
8A52	詒
8A54	詔
8A55	評
8A56	詖
8A57	詗
8A5B	詛
8A5E	詞
8A60	詠
8A61	詡
8A62	詢
8A63	詣
8A66	試
8A69	詩
8A6B	詫
8A6C	詬
8A6D	詭
8A6E	詮
8A70	詰
8A71	話
8A72	該
8A73	詳
8A79	詹
8A7C	詼
8A85	誅
8A86	誆
8A87	誇
8A8C	誌
8A8D	認
8A8F	誏
8A91	誑
8A92	誒
8A93	誓
8A95	誕
8A98	誘
8A9E	語
8AA0	誠
8AA1	誡
8AA3	誣
8AA4	誤
8AA5	誥
8AA6	誦
8AA8	誨
8AAA	說
8AB0	誰
8AB2	課
8AB9	誹
8ABC	誼
8ABF	調
8AC2	諂
8AC4	諄
8AC7	談
8AC9	諉
8ACB	請
8ACD	諍
8ACF	諏
8AD2	諒
8AD6	論
8AD7	諗
8ADB	諛
8ADC	諜
8ADE	諞
8AE0	諠
8AE1	諡
8AE2	諢
8AE6	諦
8AE7	諧
8AEB	諫
8AED	諭
8AEE	諮
8AF1	諱
8AF3	諳
8AF4	諴
8AF5	諵
8AF6	諶
8AF7	諷
8AF8	諸
8AFA	諺
8AFC	諼
8AFE	諾
8B00	謀
8B01	謁
8B02	謂
8B04	謄
8B05	謅
8B0A	謊
8B0E	謎
8B10	謐
8B14	謔
8B16	謖
8B17	謗
8B19	謙
8B1A	謚
8B1B	講
8B1D	謝
8B20	謠
8B22	謢
8B26	謦
8B28	謨
8B2B	謫
8B2C	謬
8B33	謳
8B39	謹
8B3E	謾
8B41	譁
8B49	證
8B4E	譎
8B4F	譏
8B58	識
8B59	譙
8B5A	譚
8B5C	譜
8B5F	譟
8B60	譠
8B65	譥
8B66	警
8B6C	譬
8B6D	譭
8B6F	譯
8B70	議
8B74	譴
8B77	護
8B7D	譽
8B80	讀
8B8A	變
8B8E	讎
8B92	讒
8B93	讓
8B96	讖
8B9A	讚
8B9E	讞
8C37	谷
8C3F	谿
8C41	豁
8C46	豆
8C47	豇
8C48	豈
8C49	豉
8C4A	豊
8C4B	豋
8C4C	豌
8C4E	豎
8C50	豐
8C54	豔
8C55	豕
8C5A	豚
8C61	象
8C62	豢
8C6A	豪
8C6B	豫
8C6C	豬
8C79	豹
8C7A	豺
8C82	貂
8C85	貅
8C86	貆
8C89	貉
8C8C	貌
8C8D	貍
8C93	貓
8C94	貔
8C98	貘
8C9D	貝
8C9E	貞
8CA0	負
8CA1	財
8CA2	貢
8CA5	貥
8CA7	貧
8CA8	貨
8CA9	販
8CAA	貪
8CAB	貫
8CAC	責
8CAF	貯
8CB2	貲
8CB3	貳
8CB4	貴
8CB6	貶
8CB7	買
8CB8	貸
8CBB	費
8CBC	貼
8CBD	貽
8CBF	貿
8CC0	賀
8CC1	賁
8CC2	賂
8CC3	賃
8CC4	賄
8CC5	賅
8CC7	資
8CC8	賈
8CCA	賊
8CD1	賑
8CD2	賒
8CD3	賓
8CDC	賜
8CDE	賞
8CE0	賠
8CE1	賡
8CE2	賢
8CE3	賣
8CE4	賤
8CE6	賦
8CEA	質
8CEC	賬
8CED	賭
8CF4	賴
8CF8	賸
8CFA	賺
8CFC	購
8CFD	賽
8D05	贅
8D08	贈
8D0A	贊
8D0D	贍
8D0F	贏
8D13	贓
8D14	贔
8D16	贖
8D17	贗
8D1B	贛
8D64	赤
8D66	赦
8D67	赧
8D6B	赫
8D6D	赭
8D70	走
8D73	赳
8D74	赴
8D76	赶
8D77	起
8D81	趁
8D85	超
8D8A	越
8D95	趕
8D96	趖
8D99	趙
8D9F	趟
8DA3	趣
8DA8	趨
8DAF	趯
8DB3	足
8DB4	趴
8DBA	趺
8DBE	趾
8DC6	跆
8DCB	跋
8DCC	跌
8DCE	跎
8DCF	跏
8DD1	跑
8DD6	跖
8DD8	跘
8DDA	跚
8DDB	跛
8DDD	距
8DDF	跟
8DE1	跡
8DE4	跤
8DE8	跨
8DE9	跩
8DEA	跪
8DEB	跫
8DEC	跬
8DEF	路
8DF3	跳
8DFA	跺
8E04	踄
8E05	踅
8E09	踉
8E0A	踊
8E0E	踎
8E0F	踏
8E10	踐
8E1D	踝
8E1E	踞
8E1F	踟
8E22	踢
8E29	踩
8E2A	踪
8E2B	踫
8E2D	踭
8E2E	踮
8E30	踰
8E31	踱
8E34	踴
8E35	踵
8E39	踹
8E3C	踼
8E3D	踽
8E42	蹂
8E44	蹄
8E47	蹇
8E48	蹈
8E49	蹉
8E4A	蹊
8E4B	蹋
8E4C	蹌
8E53	蹓
8E59	蹙
8E5F	蹟
8E60	蹠
8E61	蹡
8E63	蹣
8E64	蹤
8E66	蹦
8E67	蹧
8E69	蹩
8E6C	蹬
8E6D	蹭
8E72	蹲
8E74	蹴
8E76	蹶
8E7A	蹺
8E7C	蹼
8E7E	蹾
8E80	躀
8E81	躁
8E82	躂
8E85	躅
8E87	躇
8E89	躉
8E8A	躊
8E8B	躋
8E8D	躍
8E91	躑
8E95	躕
8E9A	躚
8EA1	躡
8EA5	躥
8EA6	躦
8EAA	躪
8EAB	身
8EAC	躬
8EB2	躲
8EBA	躺
8EC0	軀
8ECA	車
8ECB	軋
8ECC	軌
8ECD	軍
8ED2	軒
8ED4	軔
8EDA	軚
8EDB	軛
8EDF	軟
8EE9	軩
8EEB	軫
8EEE	軮
8EF1	軱
8EF8	軸
8EFB	軻
8EFC	軼
8EFE	軾
8F03	較
8F09	載
8F0A	輊
8F0B	輋
8F12	輒
8F13	輓
8F14	輔
8F15	輕
8F1B	輛
8F1C	輜
8F1D	輝
8F1F	輟
8F26	輦
8F29	輩
8F2A	輪
8F2E	輮
8F2F	輯
8F38	輸
8F3B	輻
8F3E	輾
8F3F	輿
8F42	轂
8F44	轄
8F45	轅
8F46	轆
8F49	轉
8F4D	轍
8F4E	轎
8F5F	轟
8F61	轡
8F9B	辛
8F9C	辜
8F9F	辟
8FA3	辣
8FA6	辦
8FA8	辨
8FAD	辭
8FAE	辮
8FAF	辯
8FB0	辰
8FB1	辱
8FB2	農
8FBF	辿
8FC2	迂
8FC4	迄
8FC5	迅
8FC6	迆
8FCB	迋
8FCE	迎
8FD1	近
8FD3	迓
8FD4	返
8FE2	迢
8FE4	迤
8FE5	迥
8FE6	迦
8FE8	迨
8FEA	迪
8FEB	迫
8FED	迭
8FF0	述
8FF4	迴
8FF7	迷
8FF8	迸
8FFA	迺
8FFD	追
9000	退
9001	送
9003	逃
9004	逄
9005	逅
9006	逆
900B	逋
900D	逍
900F	透
9010	逐
9011	逑
9014	途
9015	逕
9016	逖
9017	逗
9019	這
901A	通
901B	逛
901D	逝
901E	逞
901F	速
9020	造
9021	逡
9022	逢
9023	連
902D	逭
902E	逮
9031	週
9032	進
9035	逵
9036	逶
9038	逸
903C	逼
903E	逾
9041	遁
9042	遂
9044	遄
9047	遇
904A	遊
904B	運
904D	遍
904E	過
904F	遏
9050	遐
9051	遑
9053	道
9054	達
9055	違
9058	遘
9059	遙
905B	遛
905C	遜
905D	遝
905E	遞
9060	遠
9062	遢
9063	遣
9067	遧
9068	遨
9069	適
906D	遭
906E	遮
906F	遯
9072	遲
9074	遴
9075	遵
9076	遶
9077	遷
9078	選
907A	遺
907C	遼
907D	遽
907F	避
9080	邀
9081	邁
9082	邂
9083	邃
9084	還
9087	邇
9088	邈
908A	邊
908B	邋
908F	邏
9090	邐
9091	邑
9095	邕
9099	邙
90A2	邢
90A3	那
90A6	邦
90A8	邨
90AA	邪
90AF	邯
90B0	邰
90B1	邱
90B5	邵
90B8	邸
90C1	郁
90C3	郃
90CA	郊
90CE	郎
90DD	郝
90E1	郡
90E4	郤
90E8	部
90E9	郩
90ED	郭
90F5	郵
90FD	都
90FF	郿
9102	鄂
9109	鄉
9112	鄒
9114	鄔
9119	鄙
911E	鄞
9122	鄢
9127	鄧
912D	鄭
9130	鄰
9132	鄲
913A	鄺
9143	酃
9146	酆
9148	酈
9149	酉
914A	酊
914B	酋
914C	酌
914D	配
914E	酎
9150	酐
9152	酒
9157	酗
915A	酚
9162	酢
9163	酣
9165	酥
9169	酩
916A	酪
916C	酬
916E	酮
916F	酯
9175	酵
9176	酶
9177	酷
9178	酸
9182	醂
9183	醃
9187	醇
9189	醉
918B	醋
918D	醍
918F	醏
9190	醐
9192	醒
919A	醚
919B	醛
919C	醜
919E	醞
91A1	醡
91A3	醣
91AA	醪
91AB	醫
91AC	醬
91AE	醮
91AF	醯
91B0	醰
91B1	醱
91B4	醴
91BA	醺
91C0	釀
91C1	釁
91C7	采
91C9	釉
91CB	釋
91CC	里
91CD	重
91CE	野
91CF	量
91D0	釐
91D1	金
91D7	釗
91D8	釘
91DC	釜
91DD	針
91E3	釣
91E6	釦
91E7	釧
91E9	釩
91F5	釵
91FF	釿
9200	鈀
9204	鈄
9208	鈈
9209	鈉
920D	鈍
920E	鈎
9210	鈐
9211	鈑
9212	鈒
9214	鈔
9215	鈕
921E	鈞
9223	鈣
9226	鈦
9227	鈧
922A	鈪
9234	鈴
9236	鈶
9237	鈷
9238	鈸
9239	鈹
923A	鈺
923E	鈾
923F	鈿
9240	鉀
9244	鉄
9245	鉅
9246	鉆
9248	鉈
9249	鉉
924B	鉋
9251	鉑
9254	鉔
9257	鉗
925A	鉚
925B	鉛
925E	鉞
9262	鉢
9264	鉤
9266	鉦
926C	鉬
9278	鉸
927B	鉻
927E	鉾
9280	銀
9283	銃
9285	銅
9287	銇
9288	銈
9291	銑
9293	銓
9296	銖
9298	銘
929A	銚
929C	銜
929D	銝
92A3	銣
92A5	銥
92A6	銦
92A8	銨
92AB	銫
92AC	銬
92B2	銲
92B3	銳
92B7	銷
92B9	銹
92BB	銻
92BC	銼
92C1	鋁
92C3	鋃
92C5	鋅
92C7	鋇
92C9	鋉
92CC	鋌
92CF	鋏
92D0	鋐
92D2	鋒
92E4	鋤
92EA	鋪
92EF	鋯
92F0	鋰
92F8	鋸
92FC	鋼
9300	錀
9304	錄
9306	錆
9310	錐
9315	錕
9318	錘
9319	錙
931A	錚
931E	錞
9320	錠
9321	錡
9322	錢
9326	錦
9328	錨
932B	錫
932E	錮
932F	錯
9333	錳
9335	錵
9336	錶
9338	錸
934A	鍊
934B	鍋
934D	鍍
9352	鍒
9354	鍔
9358	鍘
935A	鍚
935B	鍛
9365	鍥
936C	鍬
9370	鍰
9375	鍵
9376	鍶
937A	鍺
937C	鍼
937E	鍾
9382	鎂
9385	鎅
938A	鎊
938C	鎌
938F	鎏
9394	鎔
9396	鎖
9397	鎗
9398	鎘
939A	鎚
93A2	鎢
93A7	鎧
93A9	鎩
