5EF3	廳
9810	預
6276	扶
626D	扭
614B	態
5435	吵
53CA	及
65D7	旗
5EAD	庭
8FEB	迫
6CC1	況
63A9	掩
590F	夏
4E92	互
672B	末
968E	階
8A13	訓
61F6	懶
593E	夾
737B	獻
65BD	施
5BE1	寡
62BC	押
84EE	蓮
8766	蝦
70C8	烈
9EE8	黨
5B63	季
9EA5	麥
6E2C	測
5951	契
8A17	託
81A0	膠
4ECB	介
9678	陸
5C1A	尚
95A3	閣
5BF8	寸
7C60	籠
77EE	矮
7272	牲
9738	霸
798D	禍
659C	斜
62B5	抵
5F13	弓
8CE2	賢
7533	申
5976	奶
65A4	斤
963B	阻
5589	喉
85CF	藏
767B	登
8D74	赴
64C7	擇
985B	顛
61F7	懷
5999	妙
501A	倚
667A	智
88C1	裁
6316	挖
8A2A	訪
59D0	姐
6D1E	洞
5E3D	帽
5F31	弱
5B30	嬰
69AE	榮
53EB	叫
5192	冒
7C43	籃
8A5E	詞
5085	傅
53F2	史
98F2	飲
966A	陪
80CE	胎
52E4	勤
9677	陷
5E16	帖
6843	桃
66FF	替
862D	蘭
7D14	純
66C6	曆
554A	啊
6885	梅
65E6	旦
4E39	丹
5CB8	岸
6247	扇
885D	衝
626E	扮
66FE	曾
7F50	罐
8A55	評
81A9	膩
7DBF	綿
79DF	租
8154	腔
9F0E	鼎
7562	畢
81E3	臣
92FC	鋼
7CD5	糕
585E	塞
5F99	徙
70B8	炸
558A	喊
5E2D	席
8B00	謀
5F7C	彼
6EAA	溪
616E	慮
5EAB	庫
59E8	姨
74E6	瓦
4E26	並
70AE	炮
6572	敲
85AF	薯
66A2	暢
79E4	秤
68CB	棋
6DCB	淋
7919	礙
6263	扣
5DFE	巾
7076	灶
9A0E	騎
81A8	膨
63C0	揀
7B56	策
7DAD	維
68DA	棚
6789	枉
5DF7	巷
7E54	織
57D4	埔
5EE0	廠
526A	剪
4E32	串
5DDE	州
589E	增
8CE4	賤
53F3	右
6F38	漸
5283	劃
51DD	凝
5DE1	巡
9055	違
63A0	掠
5BBF	宿
7E3E	績
6982	概
5E55	幕
7C3F	簿
7B4D	筍
5674	噴
6C60	池
62D4	拔
6C38	永
7336	猶
9189	醉
9304	錄
5766	坦
66AB	暫
4F0A	伊
57F9	培
5BE9	審
8B66	警
7126	焦
4F01	企
80A9	肩
6EC5	滅
64CA	擊
4F73	佳
76CA	益
714E	煎
96C5	雅
7262	牢
9727	霧
541E	吞
75F4	痴
4E56	乖
6D78	浸
7DA0	綠
6176	慶
5957	套
8A31	許
5109	儉
722A	爪
6F3F	漿
6B23	欣
5C4D	屍
76DB	盛
7ADF	竟
76C6	盆
514B	克
54C8	哈
62B9	抹
68AF	梯
65E2	既
6241	扁
6F51	潑
78BC	碼
9E97	麗
64CB	擋
6D32	洲
78DA	磚
5D29	崩
8CED	賭
71E5	燥
6191	憑
8A02	訂
8463	董
4FB5	侵
51CD	凍
7CFB	系
5835	堵
6CBF	沿
722C	爬
9769	革
708E	炎
971C	霜
52FB	勻
5AC2	嫂
5E79	幹
5FD8	忘
8569	蕩
63DA	揚
524A	削
5708	圈
7483	璃
6C41	汁
56CA	囊
7E8F	纏
599D	妝
594F	奏
5783	垃
93AE	鎮
606D	恭
5A92	媒
9396	鎖
92F8	鋸
65CB	旋
6068	恨
5893	墓
51C6	准
832B	茫
6200	戀
5360	占
7C3D	簽
6328	挨
8205	舅
4EAB	享
8755	蝕
98FC	飼
8CAB	貫
9CF3	鳳
6905	椅
7DE8	編
526F	副
6876	桶
755C	畜
5475	呵
5201	刁
9006	逆
627E	找
6377	捷
6050	恐
6D89	涉
51F6	凶
731C	猜
5361	卡
7FFC	翼
5606	嘆
5377	卷
70AD	炭
6FEB	濫
7D61	絡
62B1	抱
59C6	姆
68B3	梳
5FD9	忙
7CE7	糧
53B2	厲
6212	戒
788E	碎
55AA	喪
6291	抑
7BC7	篇
7642	療
573E	圾
5319	匙
6190	憐
88D9	裙
8B19	謙
6094	悔
7D39	紹
7248	版
78B0	碰
6388	授
63E1	握
8AD2	諒
9B6F	魯
4E88	予
80C3	胃
64AD	播
62C8	拈
8702	蜂
64F2	擲
52AB	劫
4F0F	伏
5E7D	幽
502B	倫
5354	協
73BB	玻
5C41	屁
52FE	勾
9234	鈴
9F4B	齋
9326	錦
65F1	旱
8D81	趁
7D2F	累
72F9	狹
6284	抄
76F2	盲
63A3	掣
97AD	鞭
51A0	冠
4FC3	促
5BE7	寧
6F02	漂
5373	即
947D	鑽
8212	舒
852D	蔭
5CF6	島
5352	卒
9B44	魄
8A93	誓
63A7	控
7206	爆
6E67	湧
6F64	潤
7FF9	翹
4E1F	丟
60B6	悶
5854	塔
4EAD	亭
8CA2	貢
5782	垂
72FC	狼
758A	疊
7CFE	糾
632F	振
4E38	丸
9838	頸
63EE	揮
90F5	郵
525D	剝
6DDA	淚
91E3	釣
5C51	屑
5348	午
90AA	邪
8E22	踢
6490	撐
606C	恬
7378	獸
57CB	埋
5B0C	嬌
9913	餓
6108	愈
5538	唸
9589	閉
6DB2	液
63E3	揣
5E45	幅
500D	倍
535C	卜
53AD	厭
73A9	玩
804A	聊
600E	怎
8B5C	譜
817F	腿
53C9	叉
6D29	洩
8CE0	賠
584C	塌
7A9F	窟
7802	砂
8DD1	跑
6C7D	汽
819A	膚
652A	攪
5996	妖
88FD	製
633A	挺
89BD	覽
65C1	旁
98E2	飢
67F1	柱
8FA3	辣
85AA	薪
626F	扯
9ECF	黏
5FB5	徵
8907	複
883B	蠻
4EAE	亮
633D	挽
8517	蔗
8A3B	註
5974	奴
8DCB	跋
7D2E	紮
6F06	漆
5320	匠
7267	牧
96C0	雀
8102	脂
7BE4	篤
6591	斑
6368	捨
62AB	披
96D6	雖
7E61	繡
653B	攻
5FCC	忌
8139	脹
76D2	盒
903C	逼
53EC	召
9E7F	鹿
969C	障
7281	犁
8F4E	轎
7CDE	糞
7FC1	翁
596E	奮
754F	畏
779E	瞞
7A3F	稿
9130	鄰
7A40	穀
6F32	漲
96D5	雕
8CD3	賓
5D0E	崎
690D	植
582A	堪
67D4	柔
5B69	孩
596A	奪
8805	蠅
8CFA	賺
71D5	燕
5EC9	廉
532A	匪
654F	敏
68A8	梨
91AC	醬
6AC3	櫃
82BD	芽
934A	鍊
925B	鉛
6258	托
52C9	勉
8525	蔥
9077	遷
4EA6	亦
5438	吸
84EC	蓬
7CDC	糜
8106	脆
6E34	渴
586B	填
7763	督
6ECB	滋
788C	碌
5609	嘉
62D7	拗
52F5	勵
67C4	柄
7926	礦
80BA	肺
4F30	估
5A36	娶
7F55	罕
8D0A	贊
683D	栽
6B04	欄
9700	需
718A	熊
7345	獅
5CA9	岩
5351	卑
6487	撇
9072	遲
65FA	旺
6B79	歹
5A7F	婿
75D5	痕
64E6	擦
813E	脾
76BA	皺
8165	腥
5747	均
7BE9	篩
4F8D	侍
5492	咒
8085	肅
8058	聘
5009	倉
51F9	凹
846C	葬
53EE	叮
85E4	藤
8CA9	販
54C9	哉
522E	刮
5378	卸
5DBA	嶺
69CD	槍
77E9	矩
5146	兆
5B8B	宋
592D	夭
6065	恥
552F	唯
511F	償
920D	鈍
62D0	拐
69FD	槽
6372	捲
8CC0	賀
9063	遣
9F9C	龜
574E	坎
7A3B	稻
6676	晶
8E44	蹄
7F69	罩
8B93	讓
80A2	肢
99D5	駕
5EDA	廚
77E3	矣
64A9	撩
68CD	棍
8B20	謠
98B1	颱
8FB0	辰
5948	奈
67F3	柳
7344	獄
61B2	憲
7965	祥
881F	蠟
7A00	稀
6F01	漁
7C9F	粟
55BB	喻
6488	撈
7B28	笨
5238	券
5B85	宅
918B	醋
9075	遵
6170	慰
4F0D	伍
9310	錐
797F	祿
54AF	咯
6398	掘
819C	膜
7F38	缸
633E	挾
609F	悟
72D0	狐
8E64	蹤
76DC	盜
6293	抓
7DE9	緩
6BBF	殿
97FB	韻
76FC	盼
6C0F	氏
4F3C	似
5410	吐
6216	或
555E	啞
659F	斟
651D	攝
8A87	誇
8070	聰
79E6	秦
52D2	勒
751A	甚
5E87	庇
5366	卦
540E	后
4F47	佇
699C	榜
54ED	哭
528D	劍
64AB	撫
6D74	浴
59FB	姻
588A	墊
5C4F	屏
84C4	蓄
916C	酬
532F	匯
5141	允
9022	逢
4F69	佩
9264	鉤
812F	脯
8CBF	貿
9D09	鴉
5614	嘔
508D	傍
67D1	柑
70D8	烘
7F77	罷
9119	鄙
75F0	痰
78C5	磅
7D21	紡
652C	攬
64C2	擂
68FA	棺
62D8	拘
58FA	壺
7D1B	紛
58C7	壇
79BD	禽
7D0B	紋
6851	桑
62D2	拒
5243	剃
7D5E	絞
61F8	懸
6E23	渣
51CC	凌
8FB1	辱
871C	蜜
7C3E	簾
9B0D	鬍
6167	慧
7C64	籤
6389	掉
947C	鑼
73B2	玲
8549	蕉
4F10	伐
6F6D	潭
59E6	姦
8A6D	詭
8B9A	讚
7662	癢
63CF	描
7891	碑
8DEA	跪
6731	朱
6458	摘
6252	扒
7E1B	縛
7686	皆
5FAA	循
9059	遙
641C	搜
7C6C	籬
54E9	哩
5851	塑
4F48	佈
6688	暈
5E06	帆
6912	椒
7AC5	竅
8F3E	輾
589C	墜
52AA	努
6EB6	溶
79D2	秒
67F4	柴
82A5	芥
8A3A	診
5154	兔
59A8	妨
8CAF	貯
7B95	箕
68DF	棟
59A5	妥
647A	摺
576A	坪
6168	慨
932B	錫
6367	捧
708A	炊
7F9E	羞
9215	鈕
971E	霞
54FA	哺
50AC	催
557C	啼
5BFA	寺
892A	褪
6AE5	櫥
8CB6	貶
8015	耕
6643	晃
816B	腫
520A	刊
8482	蒂
854A	蕊
91C7	采
71ED	燭
62FE	拾
541F	吟
7BF7	篷
87FB	蟻
8993	覓
9598	閘
50B2	傲
7E7C	繼
5915	夕
7D68	絨
62C2	拂
5F4C	彌
7384	玄
5566	啦
8972	襲
9165	酥
6524	攤
96B1	隱
62EC	括
7948	祈
8DDF	跟
828B	芋
6155	慕
8591	薑
8912	褒
790E	礎
6717	朗
6F80	澀
5496	咖
4E4F	乏
9952	饒
6CBE	沾
9644	附
75B2	疲
81DF	臟
5F4E	彎
906D	遭
90CA	郊
5E15	帕
5BEE	寮
8B74	譴
7375	獵
7058	灘
83C7	菇
4EFF	仿
61C7	懇
5420	吠
8AE7	諧
7A74	穴
81BF	膿
99D0	駐
8CDC	賜
8123	脣
4FF1	俱
64AE	撮
5BB5	宵
5561	啡
5583	喃
7B20	笠
7955	祕
7009	瀉
8AA6	誦
64E0	擠
7CBD	粽
9774	靴
61A4	憤
8ECC	軌
937E	鍾
65A5	斥
5544	啄
6BC0	毀
9336	錶
514C	兌
6846	框
8292	芒
849C	蒜
5740	址
71AC	熬
5C4B	屋
74F7	瓷
561F	嘟
6DF9	淹
983B	頻
50FB	僻
5821	堡
4F51	佑
7FE0	翠
6FC1	濁
7A4E	穎
8304	茄
6756	杖
8C9D	貝
563B	嘻
6500	攀
8DA8	趨
54B3	咳
9D1B	鴛
4E59	乙
69D3	槓
6492	撒
86E4	蛤
86C0	蛀
914C	酌
9257	鉗
