8259	艙
6C2B	氫
5AC9	嫉
5B09	嬉
50D5	僕
7729	眩
9685	隅
92F8	鋸
7940	祀
8200	舀
7480	璀
84B2	蒲
9005	逅
6849	桉
618B	憋
73B3	玳
97CB	韋
7600	瘀
7FAF	羯
99A5	馥
7C27	簧
54B8	咸
892A	褪
9BC9	鯉
795F	祟
91DC	釜
749E	璞
9704	霄
5C94	岔
6A80	檀
66D9	曙
99AE	馮
7D46	絆
8373	荳
7671	癱
71BE	熾
92B9	銹
865E	虞
74A8	璨
57E0	埠
96B8	隸
55E6	嗦
9082	邂
7942	祂
5FBD	徽
7426	琦
8098	肘
91BA	醺
6414	搔
82DE	苞
647B	摻
7A4C	穌
725F	牟
55D3	嗓
84A1	蒡
8654	虔
8A5B	詛
90B8	邸
61CA	懊
5055	偕
8CB6	貶
6977	楷
9C77	鱷
5241	剁
8760	蝠
7898	碘
7538	甸
5CE8	峨
711A	焚
69AD	榭
8B10	謐
9C57	鱗
61A8	憨
8205	舅
7422	琢
6746	杆
97A6	鞦
97C6	韆
8523	蔣
88D4	裔
6963	楣
96CC	雌
6583	斃
5CC7	峇
51BD	冽
8782	螂
920D	鈍
7AFA	竺
7164	煤
854E	蕎
5228	刨
9B41	魁
6BC6	毆
8759	蝙
8778	蝸
5CB1	岱
9E92	麒
59EA	姪
5C4C	屌
81FB	臻
6CC4	泄
6A3A	樺
780C	砌
57D5	埕
934D	鍍
9296	銖
615A	慚
7BE4	篤
7E37	縷
7C72	籲
5431	吱
5768	坨
73A5	玥
79A7	禧
7C6C	籬
79BF	禿
5384	厄
7C0D	簍
6893	梓
5EDD	廝
54E8	哨
52FA	勺
809B	肛
502A	倪
854A	蕊
75CA	痊
803D	耽
524B	剋
8FE5	迥
5960	奠
77C7	矇
82E3	苣
695E	楞
95A5	閥
4F47	佇
6DC6	淆
6986	榆
8805	蠅
79BD	禽
701A	瀚
8A15	訕
99F1	駱
7292	犒
7586	疆
6FFA	濺
7C37	簷
7526	甦
95D4	闔
56DA	囚
74CA	瓊
7787	瞇
5993	妓
6F31	漱
61AC	憬
5201	刁
9EB4	麴
87EC	蟬
9333	錳
61A7	憧
65A7	斧
69D3	槓
946B	鑫
916F	酯
6726	朦
777F	睿
7B08	笈
6A1F	樟
6D59	浙
634D	捍
7515	甕
5DD2	巒
69BB	榻
6E26	渦
81CD	臍
93AC	鎬
602F	怯
7425	琥
9127	鄧
57E4	埤
8815	蠕
5A7F	婿
5249	剉
55F6	嗶
6CF5	泵
6EC4	滄
8F3E	輾
4EA2	亢
8331	茱
87D1	蟑
777D	睽
98BC	颼
9EF4	黴
8936	褶
5E87	庇
6727	朧
7DA3	綣
9432	鐲
7DCB	緋
65F1	旱
6813	栓
8B17	謗
761F	瘟
74BD	璽
72FD	狽
5575	啵
5669	噩
5FA8	徨
62F7	拷
8ADC	諜
5F98	徘
5F8A	徊
81BF	膿
6208	戈
68D8	棘
589F	墟
8F3F	輿
8594	薔
7A62	穢
9CE9	鳩
82FA	苺
9EA9	麩
9C2D	鰭
8912	褒
873B	蜻
86C9	蛉
693F	椿
8FC2	迂
4F0E	伎
9149	酉
620A	戊
74A7	璧
7887	碇
914B	酋
9E93	麓
5F57	彗
637A	捺
81C6	臆
8494	蒔
8E8A	躊
8E87	躇
6B05	欅
8511	蔑
6BEC	毬
7AAA	窪
7BC6	篆
7B75	筵
9768	靨
7F63	罣
6BB2	殲
5F29	弩
51AA	冪
76C2	盂
6C4E	汎
8A85	誅
9ECD	黍
652B	攫
7BB8	箸
534D	卍
9DF2	鷲
9C08	鰈
9A52	驒
7D18	紘
96F9	雹
8526	蔦
5A3C	娼
6841	桁
6E1A	渚
9688	隈
7D3A	紺
8237	舷
725D	牝
86ED	蛭
8599	薙
7FF3	翳
95BE	閾
698E	榎
6634	昴
8ACF	諏
7B67	筧
73EA	珪
6451	摑
929A	銚
7C54	籔
7B45	筅
57DC	埜
937C	鍼
7F60	罠
82EB	苫
9306	錆
9AED	髭
8201	舁
81A3	膣
5B2C	嬬
639F	掟
571E	圞
9AF7	髷
4EC2	仂
8A82	誂
67CA	柊
6FEF	濯
914E	酎
5642	噂
53E9	叩
6B86	殆
558B	喋
5208	刈
5EB5	庵
990C	餌
6FE1	濡
8D66	赦
618E	憎
5EB6	庶
9591	閑
88FE	裾
7432	琲
760D	瘍
53F1	叱
907D	遽
80F4	胴
8AB9	誹
5420	吠
8AED	諭
5CAC	岬
81FC	臼
98F4	飴
91E7	釧
918D	醍
9190	醐
5BC5	寅
75E2	痢
837B	荻
7B8B	箋
865C	虜
637B	捻
80B4	肴
9AB8	骸
745B	瑛
9837	頷
4FAE	侮
8B33	謳
93A7	鎧
7768	睨
96BC	隼
7A1C	稜
75D4	痔
4F43	佃
88DF	裟
59E6	姦
7826	砦
7E1E	縞
56C1	囁
5A29	娩
8D14	贔
7B50	筐
7027	瀧
502D	倭
9BAB	鮫
65A1	斡
56C3	囃
68A2	梢
8235	舵
5072	偲
847A	葺
81B5	膵
98AF	颯
7C50	籐
7953	祓
5D6F	嵯
8568	蕨
64E2	擢
7766	睦
4FF8	俸
5506	唆
9D5C	鵜
8AE1	諡
5944	奄
88B4	袴
5872	塲
9EAA	麪
8721	蜡
8E1E	踞
8278	艸
5401	吁
58BB	墻
51C8	凈
5E18	帘
5187	冇
7096	炖
5EA0	庠
601B	怛
5428	吨
51A2	冢
869D	蚝
6635	昵
4E10	丐
540F	吏
8F9F	辟
67DC	柜
4E5C	乜
5B56	孖
649A	撚
6435	搵
54AD	咭
78E1	磡
9ED0	黐
28468	𨑨
8FCC	迌
23350	𣍐
4F6C	佬
92F0	鋰
5B7D	孽
8334	茴
4E1E	丞
7E7E	繾
5137	儷
5DD4	巔
75E7	痧
8087	肇
54C6	哆
9713	霓
86A4	蚤
68FA	棺
5C60	屠
900D	逍
9AB0	骰
921E	鈞
4E5E	乞
51CB	凋
919B	醛
774F	睏
6390	掐
5BA5	宥
9257	鉗
7688	皈
673D	朽
4FDE	俞
6714	朔
9A62	驢
7CB5	粵
5323	匣
779C	瞜
6A62	橢
8317	茗
7DA2	綢
59A4	妤
9226	鈦
76C5	盅
568E	嚎
7D09	紉
707C	灼
9C78	鱸
9119	鄙
82B7	芷
701F	瀟
8AA1	誡
6C08	氈
7E08	縈
5308	匈
77A5	瞥
8435	萵
901E	逞
8E39	踹
6273	扳
6498	撘
61E6	懦
76D4	盔
55DD	嗝
594E	奎
8350	荐
7960	祠
55F2	嗲
62C2	拂
6063	恣
5A55	婕
5FAC	徬
7194	熔
7B8F	箏
80F0	胰
5577	啷
6E25	渥
7578	畸
8944	襄
544E	呎
9015	逕
6DCC	淌
53E8	叨
80F1	胱
9452	鑒
4EA5	亥
778C	瞌
6115	愕
5EEC	廬
5678	噸
814B	腋
61AB	憫
9839	頹
7464	瑤
703E	瀾
9E8B	麋
7A96	窖
69CC	槌
69AB	榫
5DD6	巖
63A0	掠
6BCB	毋
9050	遐
58C5	壅
7329	猩
