516B	八
719F	熟
7E31	縱
53EF	可
7121	無
7C91	粑
7CCC	糌
6241	扁
68D8	棘
679D	枝
7247	片
7DE8	編
72C0	狀
7C6C	籬
5510	唐
767D	白
5C45	居
6613	易
541F	吟
8CB7	買
5E44	幄
5E55	幕
5E87	庇
65C1	旁
7E54	織
8B77	護
8C5D	豝
6BCD	母
8C6C	豬
725D	牝
8C55	豕
5F7C	彼
8301	茁
8005	者
846D	葭
58F9	壹
767C	發
4E94	五
6B72	歲
80FD	能
76F8	相
6777	杷
62CF	拏
9200	鈀
5316	化
5B78	學
7D20	素
5E8F	序
8272	色
9280	銀
91D1	金
9251	鉑
540C	同
7522	產
7194	熔
9EDE	點
8F03	較
4F4E	低
5F9E	從
7926	礦
63D0	提
53D6	取
6C2B	氫
53CD	反
89F8	觸
5A92	媒
8FB2	農
5177	具
9F52	齒
63A8	推
805A	聚
6652	晒
7A40	穀
5834	場
7A3B	稻
5668	器
53F2	史
6E38	游
6343	捃
7A6B	穫
79C9	秉
63D2	插
984F	顏
5E2B	師
53E4	古
62D4	拔
62BD	抽
65D7	旗
528D	劍
6BDB	毛
5229	利
5929	天
6BD2	毒
81BF	膿
9664	除
798D	禍
6839	根
91D8	釘
9078	選
9589	閉
7D55	絕
8DEF	路
9032	進
96CB	雋
7279	特
4E4E	乎
8403	萃
803F	耿
6A19	標
701F	瀟
7051	灑
5875	塵
60F3	想
9AD8	高
8D77	起
55D3	嗓
5C16	尖
53EB	叫
52D5	動
6416	搖
6539	改
8B8A	變
5805	堅
5FCD	忍
7262	牢
6A02	樂
5247	則
884C	行
6182	憂
9055	違
78BA	確
653B	攻
5360	占
9818	領
6BBA	殺
58EB	士
6B64	此
707D	災
77EF	矯
6CBB	治
85E5	藥
818F	膏
5C07	將
626D	扭
8116	脖
76F4	直
62EC	括
7BAD	箭
7AEF	端
5DE6	左
820D	舍
7372	獲
4EA8	亨
77E2	矢
672B	末
6025	急
901F	速
6BCB	毋
5831	報
5F80	往
912D	鄭
7384	玄
8D74	赴
75BE	疾
7686	皆
8307	茇
51E1	凡
5EB6	庶
53E2	叢
4F11	休
606F	息
5BBF	宿
853D	蔽
82BE	芾
7518	甘
68E0	棠
52FF	勿
7FE6	翦
4F10	伐
53EC	召
80C8	胈
817F	腿
7D30	細
5FC3	心
7169	煩
616E	慮
52DE	勞
8EAC	躬
80DD	胝
819A	膚
53F8	司
99AC	馬
8C9E	貞
7D22	索
96B1	隱
5F15	引
97CB	韋
662D	昭
5C0F	小
80A1	股
79B9	禹
64CD	操
6A50	橐
801C	耜
96DC	雜
8153	腓
811B	脛
758F	疏
52D8	勘
82E6	苦
57F7	執
6BC0	毀
60B4	悴
9042	遂
4F7F	使
819D	膝
8EF7	軷
796D	祭
544A	告
795E	神
4E8B	事
9053	道
5FC5	必
5148	先
7ACB	立
58C7	壇
5C0C	尌
8305	茅
4F9D	依
856D	蕭
8102	脂
7F9D	羝
83DD	菝
8C61	象
5FB5	徵
7965	祥
745E	瑞
690D	植
79D1	科
7DE3	緣
704C	灌
6728	木
8396	莖
5448	呈
8CEA	質
786C	硬
8449	葉
4E92	互
95CA	闊
5375	卵
5713	圓
638C	掌
8108	脈
81F3	至
7E56	繖
814B	腋
7E3D	總
6897	梗
9577	長
5398	厘
88AB	被
679A	枚
9EC3	黃
7DA0	綠
6F3F	漿
679C	果
7403	球
7D05	紅
5747	均
5165	入
674E	李
73CD	珍
8513	蔓
5F37	強
6C5F	江
6D59	浙
4EA6	亦
525B	剛
695A	楚
9435	鐵
83F1	菱
89D2	角
8DCB	跋
8D70	走
5C71	山
6D89	涉
6C34	水
8E10	踐
8E0F	踏
80E1	胡
7590	疐
8FF4	迴
8F49	轉
5546	商
5076	偶
97FB	韻
53E5	句
8D08	贈
97D3	韓
5806	堆
6A39	樹
85BA	薺
5409	吉
89BA	覺
6B78	歸
5BAE	宮
5E9C	府
99F7	駷
929C	銜
504F	偏
4FC3	促
8F61	轡
53C8	又
5169	兩
8DB3	足
7C4D	籍
7AE0	章
756B	畫
7891	碑
5E16	帖
7B49	等
8A00	言
7C21	簡
610F	意
8CC5	賅
5167	內
8A55	評
9451	鑑
5B9A	定
8003	考
64DA	據
6027	性
6881	梁
7570	異
9238	鈸
64CA	擊
9285	銅
7531	由
51F8	凸
649E	撞
5F91	徑
4E9E	亞
6D32	洲
6C11	民
5BF8	寸
7D71	統
5E38	常
6232	戲
66F2	曲
9B43	魃
8AAA	說
9020	造
65F1	旱
9B3C	鬼
8650	虐
60D4	惔
711A	焚
9F25	鼥
677E	松
9F20	鼠
7C97	粗
58EF	壯
80A2	肢
76AE	皮
67D4	柔
8EDF	軟
8CB4	貴
88D8	裘
8F15	輕
6696	暖
900F	透
64A5	撥
63E1	握
62FF	拿
6B61	歡
5E72	干
5B5F	孟
6D69	浩
904E	過
838A	莊
7B75	筵
5703	圃
8A71	話
6851	桑
9EBB	麻
770B	看
95DC	關
8CAB	貫
585E	塞
9041	遁
7532	甲
5E25	帥
6CB3	河
968D	隍
53F3	右
8ECD	軍
7C07	簇
6367	捧
5B98	官
7D66	給
865E	虞
5EDD	廝
6084	悄
8CE3	賣
9322	錢
62B1	抱
5B69	孩
4FBF	便
5C4E	屎
5C3F	尿
67C4	柄
5098	傘
675F	束
8525	蔥
7B77	筷
706B	火
76C8	盈
7C73	米
653E	放
6012	怒
4E08	丈
9418	鐘
982D	頭
8001	老
7239	爹
5E7E	幾
5E74	年
4EFB	任
723A	爺
88E1	裡
8DD1	跑
6015	怕
8981	要
5C0B	尋
8655	處
7406	理
7F6E	置
601D	思
81C9	臉
6D17	洗
6DE8	淨
81F4	致
5C0E	導
60F9	惹
60F1	惱
54ED	哭
760B	瘋
5FB7	德
8CDC	賜
6A6B	橫
8CA1	財
5012	倒
5225	別
5175	兵
6B66	武
8019	耙
602A	怪
771F	真
8209	舉
7BC9	築
6398	掘
6C0F	氏
505A	做
751A	甚
9650	限
9084	還
54E9	哩
9776	靶
97C1	韁
9769	革
738B	王
826F	良
54C0	哀
8F3F	輿
5C04	射
76EE	目
98DB	飛
9AA8	骨
73ED	班
6595	斕
9738	霸
5F1D	弝
5F13	弓
592E	央
718A	熊
5FE0	忠
5F23	弣
8CC0	賀
7533	申
89F1	觱
7BE5	篥
6B4C	歌
6714	朔
5BA2	客
9A0E	騎
61F8	懸
862D	蘭
7E93	纓
7238	爸
5C0D	對
7236	父
8AF8	諸
4FAF	侯
76DF	盟
4E3B	主
6FDF	濟
6B32	欲
5B54	孔
7A4E	穎
6B63	正
7FA9	義
4E91	云
8870	衰
653F	政
6559	教
5D07	崇
7D02	紂
9F4A	齊
6853	桓
6230	戰
7F77	罷
9063	遣
7F6A	罪
505C	停
6B62	止
5DE5	工
514D	免
5EE2	廢
7D42	終
66D6	曖
5E7D	幽
5EF6	延
4F47	佇
5B8C	完
7562	畢
7576	當
675C	杜
752B	甫
61F7	懷
820A	舊
77E5	知
93E1	鏡
60B2	悲
96F2	雲
5931	失
5FFF	忿
6068	恨
54E1	員
5916	外
6A23	樣
5AB3	媳
5A66	婦
4E45	久
540E	后
6557	敗
58DE	壞
98A8	風
77F2	矲
63DA	揚
96C4	雄
6842	桂
6797	林
77EE	矮
96C9	雉
5019	候
975E	非
6B79	歹
60E1	惡
54E5	哥
6E90	源
965D	陝
85CD	藍
7530	田
7E23	縣
6E2D	渭
705E	灞
7368	獨
7BA1	管
4EF2	仲
5321	匡
8D85	超
8D8A	越
5357	南
5289	劉
52F0	勰
4F50	佐
91C7	采
6D41	流
7D93	經
5B89	安
5411	向
6A4B	橋
9001	送
67F3	柳
58E9	壩
6E56	湖
72F9	狹
64CB	擋
4E26	並
5830	堰
7A0B	程
978F	鞏
56FA	固
9632	防
4E01	丁
9354	鍔
9918	餘
96C1	雁
8ACB	請
5FEB	快
597D	好
6E2C	測
8A72	該
96E8	雨
611F	感
5606	嘆
9813	頓
53EA	只
578B	型
7336	猶
7591	疑
96E3	難
7436	琶
6CD5	法
7676	癶
8173	腳
5468	周
885B	衛
5D69	嵩
6F38	漸
8FB5	辵
8607	蘇
6392	排
6311	挑
5F26	弦
4E82	亂
7B46	筆
57FA	基
5B64	孤
9662	院
78B0	碰
5C91	岑
5949	奉
5F81	征
591C	夜
812B	脫
534A	半
6208	戈
5F48	彈
7435	琵
6536	收
5E1B	帛
6279	批
7D44	組
7FA4	群
8E73	蹳
8E22	踢
843D	落
865C	虜
68C4	棄
9C4D	鱍
6CE2	波
6E67	湧
632F	振
76EA	盪
4F0F	伏
73FE	現
6D77	海
6BD4	比
55BB	喻
5149	光
4F59	余
5E37	帷
8996	視
82E5	若
703E	瀾
50CF	像
6D6A	浪
96FB	電
6C38	永
5F65	彥
9060	遠
637A	捺
78D4	磔
7E8C	續
52E2	勢
5101	儁
5954	奔
7FCA	翊
9003	逃
7430	琰
5CFB	峻
9091	邑
9077	遷
9DC2	鷂
96C0	雀
52A9	助
9858	願
8FAD	辭
73BB	玻
7483	璃
5575	啵
543B	吻
9830	頰
69B7	榷
7948	祈
5011	們
5E79	幹
83E0	菠
83DC	菜
7886	碆
9CE5	鳥
77F3	石
93C3	鏃
7E6B	繫
7D72	絲
7E73	繳
5663	噣
7835	砵
7F3D	缽
68B5	梵
76DB	盛
98EF	飯
6F84	澄
71D2	燒
5492	咒
88DD	裝
6ECC	滌
9676	陶
74F7	瓷
8DB5	趵
8E29	踩
68A8	梨
67DA	柚
84CF	蓏
9B4F	魏
9148	酈
7F3A	缺
5FA9	復
8B58	識
9675	陵
53DF	叟
596A	奪
7C9F	粟
6731	朱
614C	慌
5FD9	忙
6514	攔
9035	逵
7E94	纔
5C31	就
4EF6	件
670D	服
7A7F	穿
6BBC	殼
7E6D	繭
5236	制
524A	削
5BA6	宦
72D7	狗
98FE	飾
96D5	雕
7DF9	緹
7E61	繡
5272	割
840C	萌
9ECE	黎
7AF6	競
6063	恣
5962	奢
5366	卦
5764	坤
826E	艮
5D93	嶓
51A2	冢
9911	餑
716E	煮
8336	茶
5F97	得
7CBE	精
83EF	華
6D6E	浮
6CE1	泡
6CAB	沫
6E6F	湯
5C64	層
6DF7	混
7FBD	羽
914C	酌
7897	碗
4EE4	令
8584	薄
539A	厚
9EB5	麵
5697	嚗
8FF8	迸
6BB5	段
5F0F	式
907D	遽
6843	桃
7FEB	翫
62F3	拳
9A5A	驚
9867	顧
969B	際
5DF2	已
76E4	盤
77E3	矣
6247	扇
72AE	犮
6E05	清
7389	玉
88C1	裁
72AC	犬
8C8C	貌
8D64	赤
5E7C	幼
6B21	次
6700	最
5C0A	尊
9F61	齡
8F29	輩
5C01	封
5EA6	度
7537	男
7235	爵
64C5	擅
67D0	某
624D	才
85DD	藝
5B97	宗
5DDE	州
7281	犁
6CCA	泊
8239	船
96BB	隻
9760	靠
5CB8	岸
821F	舟
7267	牧
7159	煙
7C60	籠
5BD2	寒
6C99	沙
68F2	棲
6F02	漂
9673	陳
6602	昂
984C	題
5F90	徐
58C1	壁
805E	聞
541B	君
9748	靈
81FA	臺
5074	側
6CBC	沼
606C	恬
975C	靜
6DE1	淡
9ED8	默
54F2	哲
5BE7	寧
62CD	拍
8C6B	豫
6E58	湘
645D	摝
8FAE	辮
4F38	伸
80ED	胭
556A	啪
4F70	佰
7D79	絹
655E	敞
67CF	柏
55AC	喬
8010	耐
9C57	鱗
7D0B	紋
5BC6	密
6750	材
6A9C	檜
7F85	羅
666F	景
8236	舶
6614	昔
5B6B	孫
6B0A	權
7B94	箔
7070	灰
6FA4	澤
5C55	展
6975	極
4F73	佳
9178	酸
9E7C	鹼
4FB5	侵
8755	蝕
4F9B	供
8861	衡
696D	業
932B	錫
92C1	鋁
5305	包
620A	戊
620C	戌
7981	禁
4F5B	佛
7940	祀
7D19	紙
51A5	冥
8606	蘆
990A	養
8836	蠶
518D	再
7720	眠
9808	須
969C	障
57C3	埃
6108	愈
665A	晚
90FE	郾
806F	聯
66AE	暮
5DE2	巢
6EFF	滿
7C3E	簾
652C	攬
6795	枕
5F98	徘
5F8A	徊
73E0	珠
5C4F	屏
8FE4	迤
9090	邐
5F74	彴
74DD	瓝
74DC	瓜
90A2	邢
663A	昺
74DE	瓞
5B5B	孛
52C3	勃
5287	劇
7E41	繁
84EC	蓬
64EF	擯
885D	衝
7058	灘
500F	倏
6DEA	淪
7A81	突
6D61	浡
6CC9	泉
6C96	沖
8A98	誘
6D8C	涌
6E24	渤
6096	悖
65FA	旺
5DF1	己
632C	挬
856A	蕪
90E3	郣
9686	隆
7C89	粉
6872	桲
67B7	枷
8378	荸
9838	頸
9805	項
8467	葧
854A	蕊
8302	茂
84CA	蓊
999E	馞
6FC3	濃
90C1	郁
9D53	鵓
9D3F	鴿
9D23	鴣
74DF	瓟
96F9	雹
9AB2	骲
7378	獸
535A	博
5EE3	廣
773E	眾
6DF5	淵
6DFA	淺
8CED	賭
98FD	飽
54C9	哉
5F08	弈
8CE2	賢
9B6F	魯
834A	荊
8EFB	軻
7F8E	美
640F	搏
96D9	雙
64B2	撲
9B25	鬥
5922	夢
8FA8	辨
8A18	記
5FAE	微
652B	攫
62FE	拾
9460	鑠
6EA2	溢
76DC	盜
8DD6	跖
733C	猼
91CE	野
7FFC	翼
818A	膊
80A9	肩
8155	腕
88F8	裸
9732	露
812F	脯
5473	味
55DC	嗜
5C4D	屍
5F17	弗
81E8	臨
6DF1	深
5C65	履
51B0	冰
7A00	稀
4F55	何
905C	遜
50DA	僚
5DD6	巖
8CA7	貧
7620	瘠
80A5	肥
6C83	沃
6280	技
5351	卑
8CE4	賤
6566	敦
523B	刻
91CD	重
83BD	莽
6773	杳
7D1B	紛
8DA8	趨
5802	堂
73CF	珏
6E1B	減
640D	損
6DEB	淫
615D	慝
8CE6	賦
6582	斂
5BA5	宥
623E	戾
8FEB	迫
5944	奄
8165	腥
81CA	臊
5FA1	御
82B3	芳
672A	未
98E2	飢
6691	暑
9119	鄙
5984	妄
83F2	菲
6B7B	死
66FE	曾
8CAC	責
7C19	簙
904A	遊
68CB	棋
67B0	枰
9ED1	黑
70CF	烏
66F9	曹
5C40	局
7BB8	箸
939B	鎛
639B	掛
5857	塗
9F8D	龍
5716	圖
6D82	涂
721B	爛
92E4	鋤
547D	命
5EA4	庤
4E43	乃
7B8B	箋
929A	銚
752C	甬
9215	鈕
4F46	但
5F27	弧
622A	截
6A62	橢
8CC8	賈
993A	餺
98E5	飥
7C3F	簿
9AC6	髆
80DB	胛
5E76	并
907A	遺
5B9B	宛
5339	匹
8840	血
6B02	欂
6AE8	櫨
7934	礴
69C3	槃
78C5	磅
946E	鑮
7B19	笙
78EC	磬
937E	鍾
594F	奏
7BC0	節
7199	熙
83D4	菔
99C1	駁
7D14	純
52D9	務
6591	斑
8E33	踳
821B	舛
722D	爭
8FAF	辯
5426	否
5018	倘
5378	卸
8CA8	貨
904B	運
50F0	僰
65CF	族
8514	蔔
8E23	踣
8DCC	跌
9A40	驀
6583	斃
4E8E	于
4EAC	京
66B4	暴
5E02	市
8086	肆
99EE	駮
731B	猛
864E	虎
7259	牙
722A	爪
8C79	豹
8B70	議
77DB	矛
76FE	盾
9006	逆
5F8B	律
8AD6	論
5BA3	宣
4FEE	修
7ADF	竟
7E47	繇
7CB9	粹
8B08	謈
61EA	懪
70E4	烤
720D	爍
634B	捋
53CA	及
63A1	採
896E	襮
9DFA	鷺
9DE5	鷥
7FC5	翅
8180	膀
7D2B	紫
80CC	背
6FFC	濼
894F	襏
896B	襫
7CEA	糪
8DDB	跛
6B98	殘
6B6A	歪
659C	斜
7C38	簸
755A	畚
7B95	箕
7CE0	糠
8202	舂
63C4	揄
8E42	蹂
7DAD	維
884D	衍
7D61	絡
8569	蕩
7006	瀆
8E67	蹧
8E4B	蹋
8CBB	費
5C4B	屋
34E6	㓦
5283	劃
4EB3	亳
90B1	邱
5FBD	徽
6C9B	沛
8B59	譙
90E1	郡
5157	兗
636D	捭
64D8	擘
59CB	始
98F2	飲
71D4	燔
9ECD	黍
8C5A	豚
6790	析
52A0	加
5B70	孰
64AD	播
6492	撒
53A5	厥
51FD	函
65AF	斯
6D3B	活
5E03	布
4EC1	仁
60E0	惠
4FE1	信
6548	效
661F	星
6563	散
51AC	冬
79FB	移
4EA1	亡
737B	獻
8FB0	辰
5C6F	屯
7586	疆
5B87	宇
8E59	蹙
7B74	筴
6383	掃
9EA4	麤
822A	航
82A5	芥
623F	房
985B	顛
8377	荷
859C	薜
8604	蘄
5288	劈
65CA	旊
9AFB	髻
58BE	墾
62C7	拇
876E	蝮
867A	虺
90ED	郭
749E	璞
512A	優
79C0	秀
5DE8	巨
91F5	釵
923F	鈿
5433	吳
795D	祝
7E96	纖
67D1	柑
8617	蘗
863F	蘿
63B0	掰
52C1	勁
7CD5	糕
64F2	擲
9811	頑
5439	吹
778E	瞎
96EA	雪
4E73	乳
6C41	汁
5B63	季
81DF	臟
80BA	肺
7F70	罰
676F	杯
8D99	趙
4F8D	侍
8AC7	談
7B11	笑
5671	噱
89F4	觴
5584	善
6A38	樸
8A34	訴
59E5	姥
7F72	署
656C	敬
7B54	答
804A	聊
6668	晨
8EFE	軾
85C9	藉
65E2	既
5F70	彰
542B	含
51A4	冤
83AB	莫
63ED	揭
5C08	專
6233	戳
8B0A	謊
66C4	曄
92EA	鋪
559A	喚
8A0E	討
6F54	潔
986F	顯
7387	率
8AA0	誠
5766	坦
6DFB	添
932F	錯
8AA4	誤
63A9	掩
5F92	徒
8D9F	趟
7343	獃
4ED8	付
50F9	價
559D	喝
5168	全
9010	逐
5531	唱
5B85	宅
59D1	姑
5A18	娘
9592	閒
500D	倍
4ECE	从
4E30	丰
75C5	病
5207	切
4F0D	伍
6574	整
8077	職
968A	隊
63EE	揮
8EA1	躡
4FDB	俛
4EF0	仰
4EDF	仟
95D4	闔
64FA	擺
6B4E	歎
72FC	狼
9670	陰
5217	列
8A2D	設
6524	攤
5E2D	席
71B1	熱
6986	榆
852D	蔭
80B4	肴
67B6	架
9677	陷
5BB3	害
8CB6	貶
9752	青
896C	襬
888D	袍
88D9	裙
62F1	拱
6276	扶
8DEA	跪
78D5	磕
4EA4	交
53E9	叩
535C	卜
5043	偃
8EFC	軼
6377	捷
5EDF	廟
9F4B	齋
8A2A	訪
554F	問
58FD	壽
6388	授
81E3	臣
8A54	詔
90CE	郎
8499	蒙
6069	恩
5353	卓
9095	邕
559C	喜
745A	瑚
8166	腦
65E9	早
501A	倚
7CFB	系
5504	唄
5370	印
8A60	詠
8B9A	讚
9802	頂
8D0A	贊
88F4	裴
84CB	蓋
6D35	洵
5617	嘗
52DD	勝
529F	功
7A3D	稽
5F6D	彭
9839	頹
4FAE	侮
6162	慢
8150	腐
9B5A	魚
9912	餒
81ED	臭
89E3	解
6D88	消
51CB	凋
67AF	枯
9EEF	黯
96F6	零
6620	映
7A17	稗
79BE	禾
7CBA	粺
66FF	替
5B9C	宜
5D47	嵇
5EB7	康
8075	聵
5FD8	忘
7CDF	糟
6DB2	液
5195	冕
72AF	犯
660C	昌
5384	厄
8CFD	賽
734E	獎
76C3	盃
6FC1	濁
7434	琴
5FD7	志
686E	桮
76BF	皿
7FB9	羹
5708	圈
70F9	烹
7FC1	翁
5E78	幸
7E5E	繞
9CF3	鳳
51F0	凰
6C4E	汎
7C2B	簫
55DA	嗚
54BD	咽
5BA4	室
964B	陋
6155	慕
8328	茨
683C	格
52A3	劣
8B19	謙
606D	恭
5C48	屈
767B	登
76E1	盡
6E9D	溝
6D2B	洫
85D0	藐
4FFE	俾
5EB3	庳
8C50	豐
96C6	集
6F64	潤
6538	攸
57E4	埤
6C59	汙
53AD	厭
6064	恤
50AD	傭
6911	椑
67FF	柿
8406	萆
84BF	蒿
8C4E	豎
67F1	柱
89C0	觀
5F71	影
62F4	拴
7D81	綁
7272	牲
68FA	棺
7A74	穴
9E97	麗
7A86	窆
6848	案
8A8C	誌
7D00	紀
5FF5	念
754C	界
980C	頌
8ABC	誼
8CC7	資
6599	料
984D	額
5EA7	座
8DBA	趺
6428	搨
6479	摹
7B84	箄
7511	甑
84C6	蓆
6176	慶
708A	炊
91DC	釜
979E	鞞
8700	蜀
9D6F	鵯
9D4A	鵊
9D8B	鶋
8CA0	負
5ACC	嫌
4E4F	乏
63F9	揹
9AEE	髮
9109	鄉
543E	吾
96D6	雖
9B42	魂
9B44	魄
61B6	憶
541E	吞
5883	境
6148	慈
6B86	殆
6DD2	淒
53B2	厲
8C82	貂
745F	瑟
85E3	藣
8278	艸
65C4	旄
5E14	帔
6F20	漠
65AC	斬
6434	搴
8FFD	追
6DBC	涼
96F1	雱
87C4	蟄
87F2	蟲
737A	獺
9D08	鴈
627C	扼
9273	鉳
9312	錒
7A69	穩
923E	鈾
53DB	叛
4E58	乘
81CF	臏
90B6	邶
6EC5	滅
5E9A	庚
80F8	胸
8170	腰
96E2	離
62CB	拋
4E95	井
91CB	釋
8B7D	譽
53D4	叔
9756	靖
4FC2	係
6B82	殂
8EB2	躲
907F	避
779E	瞞
4EC0	什
9047	遇
59D0	姐
7763	督
4EAE	亮
6F62	潢
518A	冊
88F1	裱
8919	褙
8303	范
5041	偁
673D	朽
85A6	薦
5320	匠
916C	酬
8033	耳
50FB	僻
8857	街
5DF7	巷
505D	偝
797F	祿
8E30	踰
8966	襦
5F57	彗
659F	斟
8056	聖
8C48	豈
8A96	誖
7E7C	繼
55E3	嗣
5371	危
8FF7	迷
60D1	惑
610D	愍
8C9D	貝
86E4	蛤
87BA	螺
5E63	幣
5BEC	寬
85CF	藏
5E36	帶
78E8	磨
5634	嘴
6E3E	渾
8821	蠡
883B	蠻
5BC2	寂
6697	暗
6B3D	欽
72FD	狽
5F88	很
842F	萯
92C7	鋇
6C27	氧
503C	值
602B	怫
726C	牬
82D5	苕
51CC	凌
9704	霄
8508	蔈
5F14	弔
6BAF	殯
67E9	柩
589E	增
8896	袖
7167	照
66F4	更
76CA	益
52C7	勇
5BF5	寵
9022	逢
7119	焙
70D8	烘
5BC4	寄
537F	卿
9189	醉
7A7A	空
7C92	粒
84EE	蓮
8AB0	誰
5102	儂
789A	碚
82DE	苞
7927	礧
8CD2	賒
8766	蝦
87C6	蟆
84D3	蓓
857E	蕾
7761	睡
7FE1	翡
7FE0	翠
77BB	瞻
8986	覆
768B	皋
906D	遭
5BE1	寡
795F	祟
914D	配
76F2	盲
7BC1	篁
7D2E	紮
5BE8	寨
67F5	柵
52AB	劫
69CB	構
8B17	謗
6028	怨
845B	葛
96AA	險
5275	創
5A62	婢
8C8F	貏
7432	琲
4E32	串
95CC	闌
7D1A	級
6C5D	汝
8CCA	賊
60DF	惟
87BB	螻
87FB	蟻
908A	邊
7BE4	篤
5146	兆
5C39	尹
5099	備
9810	預
6E96	準
60A3	患
5F85	待
5BB0	宰
65BD	施
7295	犕
978D	鞍
5957	套
755C	畜
4E1E	丞
62B5	抵
7CD2	糒
91AA	醪
7D43	絃
618A	憊
75B2	疲
56F0	困
582A	堪
8523	蔣
9293	銓
9CF4	鳴
8AB2	課
5F31	弱
7601	瘁
97B4	鞴
758B	疋
97AD	鞭
81C2	臂
5970	奰
8983	覃
9694	隔
903C	逼
526A	剪
64BB	撻
5BD3	寓
61C2	懂
52F9	勹
88F9	裹
7D0D	納
9E95	麕
570D	圍
707C	灼
4FDD	保
8B49	證
64D4	擔
5EF7	廷
56AD	嚭
5C41	屁
6EFE	滾
8FA6	辦
627F	承
888B	袋
6C08	氈
5E33	帳
7BF7	篷
7599	疙
7629	瘩
816B	腫
7CD6	糖
54B8	咸
62EF	拯
5B62	孢
80DE	胞
56CA	囊
70AE	炮
98EA	飪
7092	炒
96DE	雞
978B	鞋
7210	爐
