5556	啖
68D8	棘
7E37	縷
5F6C	彬
6614	昔
5669	噩
6EC4	滄
984E	顎
93E8	鏨
9460	鑠
76F9	盹
8338	茸
778E	瞎
8F3B	輻
8AFA	諺
6E58	湘
9AB8	骸
543B	吻
76EF	盯
75D4	痔
87C6	蟆
7E9C	纜
6522	攢
907D	遽
54E8	哨
5CAB	岫
7ABA	窺
5FBD	徽
5EB6	庶
6687	暇
5CFB	峻
78B3	碳
7D6E	絮
5CE8	峨
6BC5	毅
51CB	凋
620E	戎
60B4	悴
516E	兮
817A	腺
7B67	筧
8FF8	迸
714C	煌
6469	摩
93C8	鏈
58EC	壬
7C72	籲
91C0	釀
50F1	僱
51B6	冶
6A58	橘
9187	醇
7E93	纓
8944	襄
792B	礫
5398	厘
645F	摟
6666	晦
87A2	螢
6C08	氈
7DBE	綾
7455	瑕
4F3D	伽
819B	膛
564E	噎
6EBA	溺
9E92	麒
8AEB	諫
6FE4	濤
4EA8	亨
7D91	綑
7463	瑣
6289	抉
69BB	榻
902E	逮
7E08	縈
6CBD	沽
5C37	尷
500C	倌
6A59	橙
64E4	擤
9B41	魁
5C2C	尬
6C81	沁
6FB1	澱
79C9	秉
513C	儼
97F6	韶
90B1	邱
8AC4	諄
7CF6	糶
86D9	蛙
4F54	佔
64F1	擱
7165	煥
5F65	彥
75C0	痀
90E1	郡
8AA8	誨
6CD4	泔
5E5F	幟
9803	頃
5ED3	廓
9D72	鵲
62EF	拯
7735	眵
8AF1	諱
6C72	汲
6583	斃
6E5B	湛
6777	杷
560D	嘍
5D19	崙
76D4	盔
857E	蕾
6DF3	淳
5F6A	彪
62CE	拎
5E61	幡
99ED	駭
6D36	洶
9951	饑
6F97	澗
7DEC	緬
9091	邑
4F3A	伺
6115	愕
61C8	懈
628C	抌
5775	坵
7F5F	罟
5AE3	嫣
9AB0	骰
4E1E	丞
5187	冇
7830	砰
74E2	瓢
4F88	侈
4FF3	俳
74E0	瓠
83F8	菸
95A8	閨
9E75	鹵
621B	戛
5353	卓
8018	耘
5AC9	嫉
6ABB	檻
5C5C	屜
6714	朔
95E2	闢
6382	掂
7A98	窘
7A96	窖
8511	蔑
6308	挈
9DB4	鶴
6C2B	氫
916A	酪
50ED	僭
80AA	肪
76E7	盧
8000	耀
6E26	渦
672D	札
7B50	筐
6ED3	滓
55F6	嗶
64B2	撲
5979	她
655D	敝
4FDA	俚
991A	餚
75BE	疾
75B5	疵
56E1	囡
61CD	懍
6893	梓
5323	匣
8CEC	賬
6F23	漣
86C6	蛆
5919	夙
56EA	囪
5664	噤
65ED	旭
5B5C	孜
83C5	菅
903E	逾
74CF	瓏
9EDC	黜
7671	癱
9F95	龕
633C	挼
79A6	禦
9776	靶
4EC3	仃
5F18	弘
8B96	讖
7CF4	糴
5014	倔
664C	晌
555C	啜
4E52	乒
70AF	炯
7CEF	糯
6EAF	溯
6DC6	淆
934D	鍍
8737	蜷
88F3	裳
8087	肇
5D84	嶄
77C7	矇
73CA	珊
58D5	壕
5ED6	廖
550F	唏
7B75	筵
552C	唬
775A	睚
8A7C	詼
8F13	輓
8A54	詔
5228	刨
69F3	槳
6CAC	沬
9695	隕
7469	瑩
7D43	絃
623D	戽
55F9	嗹
8F9F	辟
4FD8	俘
6DBF	涿
76BF	皿
82DE	苞
9163	酣
71BE	熾
931A	錚
60B5	悵
6F13	漓
504E	偎
838E	莎
9661	陡
6BC6	毆
5055	偕
8521	蔡
96A7	隧
5777	坷
99B3	馳
7A20	稠
8CC1	賁
7D02	紂
6A62	橢
549A	咚
5D87	嶇
5B7A	孺
8E74	蹴
5308	匈
5A1F	娟
66D6	曖
8CC2	賂
8EA1	躡
52DB	勛
5180	冀
8403	萃
5B2D	嬭
8350	荐
63AA	措
61FC	懼
5B83	它
7051	灑
66A8	暨
8A85	誅
6AD3	櫓
840A	萊
8B04	謄
62F7	拷
4F59	余
773A	眺
50A2	傢
7693	皓
4F63	佣
86B5	蚵
5331	匱
98BA	颺
9713	霓
63EB	揫
7ABF	窿
6384	掄
6523	攣
86B6	蚶
5665	噥
7768	睨
6735	朵
8E1E	踞
5FE4	忤
785D	硝
634C	捌
8925	褥
616B	慫
798E	禎
7843	硃
70AC	炬
7791	瞑
6DEE	淮
59DA	姚
7028	瀨
7646	癆
8CB3	貳
50EE	僮
6963	楣
5600	嘀
716C	煬
5A25	娥
6F31	漱
5C90	岐
99AE	馮
6296	抖
6D61	浡
837C	荼
6F33	漳
9945	饅
82AD	芭
6294	抔
55DF	嗟
52C1	勁
8E2E	踮
8F26	輦
68E0	棠
8E05	踅
86FB	蛻
643D	搽
66F7	曷
7160	煠
8222	舢
6369	捩
54C6	哆
71B9	熹
75D8	痘
91F5	釵
9621	阡
7E5A	繚
53FC	叼
6EF8	滸
70FD	烽
7B94	箔
6AA0	檠
6A9C	檜
6979	楹
849E	蒞
8DD5	跕
8782	螂
92AC	銬
6C40	汀
81C0	臀
637A	捺
8DE8	跨
6877	桷
840D	萍
5549	啉
7E46	繆
755D	畝
75F2	痲
81A3	膣
6CE3	泣
8938	褸
5662	噢
8638	蘸
792A	礪
7809	砉
8881	袁
5BD0	寐
9ABC	骼
8046	聆
58F9	壹
95A5	閥
9127	鄧
566D	噭
54A8	咨
746F	瑯
52BE	劾
8AEE	諮
6D79	浹
6930	椰
79A7	禧
8956	襖
9AE6	髦
7A0D	稍
8E82	躂
8469	葩
7E6A	繪
932E	錮
5006	倆
50C6	僆
9EB4	麴
7D73	絳
99D2	駒
98F4	飴
6026	怦
77A0	瞠
834F	荏
91DC	釜
9074	遴
58E2	壢
7C7D	籽
6D12	洒
81B3	膳
7586	疆
4E53	乓
9B77	魷
5639	嘹
80F4	胴
6194	憔
9DC2	鷂
55D2	嗒
8A6E	詮
87EF	蟯
733E	猾
7436	琶
95C6	闆
97A6	鞦
8B92	讒
8815	蠕
99D9	駙
947E	鑾
6B97	殗
8960	襠
66C7	曇
5B71	孱
9DFA	鷺
905B	遛
5C91	岑
72C4	狄
745A	瑚
9D3B	鴻
6D95	涕
61A8	憨
944A	鑊
7652	癒
7950	祐
7274	牴
56BC	嚼
79D8	秘
69AD	榭
55EF	嗯
9237	鈷
6AAF	檯
6CF5	泵
81FB	臻
97C6	韆
8A03	訃
9909	餉
975A	靚
7FF1	翱
60BC	悼
8D13	贓
83A7	莧
96C7	雇
8188	膈
5477	呷
502A	倪
84BF	蒿
7832	砲
500F	倏
7941	祁
59D2	姒
634D	捍
8ADC	諜
6607	昇
8C7A	豺
63CD	揍
7AE3	竣
8299	芙
701D	瀝
9F6A	齪
6F88	澈
6A3D	樽
620D	戍
530F	匏
6BD3	毓
5AE1	嫡
564D	噍
7CBF	粿
8A79	詹
7949	祉
5703	圃
8116	脖
9DAF	鶯
9591	閑
5C3B	尻
617C	慼
5B34	嬴
991E	餞
6E89	溉
5E84	庄
592F	夯
96CD	雍
8708	蜈
520E	刎
6292	抒
9C0D	鰍
78D0	磐
8332	茲
6423	搣
8700	蜀
745C	瑜
9D51	鵑
4EDD	仝
840B	萋
4E15	丕
5FD2	忒
9642	陂
97A0	鞠
9112	鄒
6C05	氅
5707	圇
8A5B	詛
9293	銓
965B	陛
942E	鐮
69B7	榷
9CE9	鳩
7634	瘴
6414	搔
91B4	醴
7889	碉
55B3	喳
8236	舶
714F	煏
62F4	拴
58D9	壙
859B	薛
5680	嚀
5DD2	巒
9068	遨
715C	煜
726F	牯
82AF	芯
82F4	苴
4FC4	俄
748B	璋
7405	琅
8EFC	軼
9817	頗
8892	袒
54EE	哮
5AE6	嫦
5DBC	嶼
8340	荀
82D1	苑
69D0	槐
5769	坩
6345	捅
8B4F	譏
7487	璇
9A62	驢
78A1	碡
602F	怯
8F42	轂
7E10	縐
9B22	鬢
71CE	燎
56E5	囥
5543	啃
5F08	弈
9BE8	鯨
8778	蝸
58DF	壟
93DF	鏟
5950	奐
83F1	菱
86A9	蚩
5349	卉
558F	喏
75B9	疹
8964	襤
7E0A	縊
7B4F	筏
6426	搦
88F4	裴
6664	晤
7BC6	篆
8E34	踴
814C	腌
8171	腱
7FB6	羶
75CA	痊
57E4	埤
8E89	躉
865E	虞
8161	腡
8DFC	跼
74A7	璧
8477	葷
936C	鍬
86A3	蚣
78EC	磬
92BC	銼
55D1	嗑
6D94	涔
8C54	豔
9EF9	黹
7BCB	篋
8936	褶
8AC9	諉
866F	虯
7D32	紲
5FBC	徼
55FE	嗾
52FC	勼
9DE5	鷥
91E7	釧
778B	瞋
4FDE	俞
6451	摑
82A1	芡
9F77	齷
95A9	閩
6387	掇
59EC	姬
8129	脩
9328	錨
8E72	蹲
7C23	簣
745F	瑟
68F5	棵
5641	噁
93FD	鏽
76CD	盍
5B08	嬈
7688	皈
63C6	揆
8E53	蹓
829F	芟
7707	眇
98B3	颳
879E	螞
8B5A	譚
8712	蜒
5DB8	嶸
8861	衡
6D59	浙
90B5	邵
528A	劊
5690	嚐
9F6C	齬
9AC0	髀
8AA5	誥
9ED8	默
59AE	妮
8D96	趖
6225	戥
7C27	簧
9035	逵
9410	鐐
5C4C	屌
7538	甸
6568	敨
582F	堯
6C8C	沌
8490	蒐
7F45	罅
68A7	梧
95D5	闕
6DEC	淬
8774	蝴
5440	呀
8214	舔
7D8F	綏
8EDB	軛
807F	聿
5D11	崑
65AB	斫
8DFA	跺
586D	塭
7898	碘
80F0	胰
993F	餿
625E	扞
7BAC	箬
6486	撆
6C68	汨
9ECD	黍
5FF1	忱
95A4	閤
6302	挂
6986	榆
733F	猿
5E62	幢
8913	褓
7D1C	紜
5F9B	徛
81C2	臂
8921	褡
79B9	禹
87D2	蟒
4F15	伕
9462	鑢
725F	牟
4E43	乃
9D12	鴒
98EA	飪
6A50	橐
57AE	垮
64B3	撳
821C	舜
75B3	疳
7595	疕
87B3	螳
9E7C	鹼
8392	莒
70A4	炤
25349	𥍉
98ED	飭
72E0	狠
6D5E	浞
55D9	嗙
7887	碇
901B	逛
8587	薇
67EC	柬
6715	朕
4F96	侖
51BD	冽
7E7D	繽
8216	舖
84CA	蓊
8EF8	軸
77F8	矸
6AF3	櫳
614D	慍
5DBD	嶽
8E67	蹧
6B7F	歿
9452	鑒
5208	刈
8FC5	迅
6CEF	泯
84FC	蓼
749E	璞
7B19	笙
808C	肌
6631	昱
8813	蠓
7252	牒
595A	奚
5879	塹
76C3	盃
8757	蝗
96C9	雉
6AB8	檸
6C76	汶
5676	噶
85C9	藉
5880	墀
7ACA	竊
7931	礱
5B95	宕
7292	犒
89D4	觔
50BB	傻
4E8E	于
9631	阱
4F97	侗
6AAC	檬
7B8F	箏
92CF	鋏
6BEC	毬
7AED	竭
690E	椎
6359	捙
7A14	稔
7BA0	箠
67D9	柙
8C4E	豎
79E3	秣
7A37	稷
502D	倭
723F	爿
7F79	罹
5C59	屙
828E	芎
6BAF	殯
5CED	峭
6C6B	汫
95AC	閬
7504	甄
7C84	粄
7678	癸
5487	咇
5412	吒
96B8	隸
884D	衍
82D3	苓
924B	鉋
6473	摳
8693	蚓
8E48	蹈
55C7	嗇
9B4D	魍
7A17	稗
7F7E	罾
8F3F	輿
61F2	懲
6E20	渠
72AC	犬
